ID	Link	Leaning Label	Leaning Prob	#users (EAs)	#original_tweets (EAs)	#retweets (EAs)	#quoted_tweets (EAs)	#replies (EAs)	#total_tweets (EAs)	#users (All)	#original_tweets (All)	#retweets (All)	#quoted_tweets (All)	#replies (All)	#total_tweets (All)	#views by May 2018	#views first 120 days	#likes by May 2018	#dislikes by May 2018	#comments by May 2018	Polarity	Intensity	Hostility	Popularity	AVG(watch time in sec.) for first 120 days	AVG(watch percentage) for first 120 days	nw_size	nw_max_indegree	nw_density	nw_in_degree_centrality_gini	nw_closeness_centrality_gini	nw_betweenness_centrality_gini	nw_global_efficiency	nw_degree_assortativity (in-in)	nw_assortativity_leaning_probs_abs_nonreciprocal	nw_assortativity_leaning_probs_abs_reciprocal	nw_assortativity_leaning_labels	nw_assortativity_num_tweets	lang_p1	lang_p2	lang_p3	lang_sad	lang_anger	lang_anx	lang_posemo	lang_negemo	lang_negate	lang_wc	lang_dic_wc	temp_diff_wrt_first_tweet_mean	temp_diff_wrt_first_tweet_median	temp_diff_between_pairs_mean	temp_diff_between_pairs_median	temp_life_time	temp_diff_between_first_tweets_of_source_users_mean	temp_diff_between_first_tweets_of_source_users_median	temp_diff_between_max_indegree_user	cascade_mean	cascade_median	cascade_max(depth)	cascade_num_sources
yeHY2MWYPbI	https://www.youtube.com/watch?v=yeHY2MWYPbI	L	0.4396706269951558	19	19	0	0	0	19	109	47	62	2	4	115	142624	140932	2544	1903	875	0.984960263513221	0.03117988557325555	-0.07207105914099393	682.893201145891	44.3868748773037	0.807034088678249	19	0	0	0.0	0.0	0.0	0.0						0.42105263157894735	0.05263157894736842	0.0	0.0	0.0	0.0	0.47368421052631576	0.0	0.8947368421052632	14.052631578947368	7.526315789473684	118.10324814814814	60.942975000000004	16.96920462962963	11.483666666666668	305.4456833333333	16.96920462962963	11.483666666666668	113.48548333333333	1.0	1.0	1	19
84FFonoKvHs	https://www.youtube.com/watch?v=84FFonoKvHs	R	0.8854062015772647	14	11	3	0	1	15	91	63	34	1	5	103	42678	42228	2776	86	1377	0.1946371140775997	0.06706031210459722	-0.4699510831586303	203.9276427158892	392.74660824331875	0.3751161492295308	14	5	0.03296703296703297	0.9047619047619049	0.9053156146179403	0.9285714285714285	0.03571428571428571	0.19999999999999996	inf		nan	-0.2000000000000022	0.8666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.266666666666667	3.8	82.90940476190477	82.7295	11.663025	11.519966666666667	163.28235	13.6068625	11.519966666666667	154.70241666666666	1.0714285714285714	1.0	2	13
cLcRQCIET5A	https://www.youtube.com/watch?v=cLcRQCIET5A	R	0.8338464923144032	42	2	38	4	0	44	354	78	272	26	17	393	49313	47406	1007	30	165	0.1889951434698431	0.021028937602660554	-0.4710703953712633	242.3465530982312	44.6045587280949	0.9912124161798866	42	5	0.006968641114982578	0.888888888888889	0.8752552939911856	0.9761904761904762	0.01132404181184669	-0.5872272310575547	-0.09090909090912849	-0.11111111111112071	nan	nan	0.5227272727272727	0.022727272727272728	0.06818181818181818	0.045454545454545456	0.0	0.0	0.13636363636363635	0.045454545454545456	0.09090909090909091	14.727272727272727	9.113636363636363	54.18376434108528	64.07298333333334	1.9514317829457362	0.8145	83.91156666666667	2.3308768518518517	0.7763249999999999	33.1354	1.119047619047619	1.0	2	37
zvQ4TMzFsuU	https://www.youtube.com/watch?v=zvQ4TMzFsuU	R	0.9089650338602856	13	13	0	0	1	14	96	46	63	2	5	116	25686	25000	501	139	205	0.7549986066071015	0.024916296815385812	-0.2828125	89.36232201669401	134.2627808278541	0.7141637278077346	13	1	0.019230769230769232	0.7692307692307693	0.7692307692307693	0.0	0.019230769230769232	nan	nan	nan	nan	nan	0.07142857142857142	0.07142857142857142	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	8.0	3.9285714285714284	419.7330538461538	181.62423333333334	129.7507358974359	68.14425	1686.7595666666666	158.04871166666666	71.16942499999999	96.84065	1.1538461538461537	1.0	2	11
LsMlhdrz7nE	https://www.youtube.com/watch?v=LsMlhdrz7nE	L	0.19531384533748586	35	2	28	7	0	37	194	52	114	32	12	210	70053	68916	250	71	NA	0.762323204722446	0.0045822448717399685	-0.278816199376947	186.58418408797272	29.667113959825304	0.9570036761233969	35	18	0.0546218487394958	0.8263736263736263	0.7611067399974027	0.8896015549076773	0.11802521008403351	-0.3442909173492662	0.18719096690027257	0.3057851239669433	-0.05568445475638093	-0.08896109120852072	0.7027027027027027	0.2972972972972973	0.0	0.0	0.02702702702702703	0.0	0.05405405405405406	0.02702702702702703	0.02702702702702703	17.675675675675677	9.837837837837839	9.864393518518519	8.430033333333334	0.5778467592592591	0.37882499999999997	20.802483333333335	1.7150472222222222	0.68755	5.6324	1.9428571428571428	2.0	3	13
6M92H8oTH64	https://www.youtube.com/watch?v=6M92H8oTH64	R	0.7690470552353397	76	40	37	5	4	86	516	275	234	27	59	595	226049	135422	15724	483	2470	0.1933976093945571	0.0716968444894691	-0.4701980625655581	775.6911285742493	407.1774744026737	0.5134646587675582	76	48	0.013333333333333334	0.9376731301939059	0.9271090692784197	0.9466400375939849	0.025754385964912287	-0.29314572967996744	0.07888827839614168	0.6774193548387121	-0.022421524663676536	-0.029272585742291923	0.23255813953488372	0.06976744186046512	0.023255813953488372	0.0	0.0	0.0	0.13953488372093023	0.0	0.03488372093023256	7.372093023255814	4.534883720930233	117.48921313725488	90.30491666666667	4.089791568627452	2.23865	347.6322833333333	13.549139393939392	6.1538916666666665	0.0	1.7763157894736843	2.0	4	23
nV5fXPVeZoQ	https://www.youtube.com/watch?v=nV5fXPVeZoQ	L	0.39307935461379256	250	231	12	0	12	255	1489	1284	158	25	94	1561	5539228	4911568	73393	4566	10128	0.3217389893969238	0.014073982872703561	-0.4414307520619813	26501.008952874952	387.3786625138078	0.716041890044007	250	5	0.0006104417670682731	0.9330526315789472	0.9339644066386484	0.9874782608695651	0.0008527443105756361	-0.38453547332545457	0.7980015289961457	0.8094059405940596	0.8938547486033525	-0.027027027027027875	0.29411764705882354	0.0196078431372549	0.06274509803921569	0.0	0.08235294117647059	0.0	0.3058823529411765	0.08235294117647059	0.050980392156862744	13.2	7.929411764705883	189.05638438320207	169.29788333333335	1.6617324803149605	1.1306833333333333	422.08005	1.843144323144105	1.249	5.07465	1.084	1.0	3	230
IxfWmBHsdgg	https://www.youtube.com/watch?v=IxfWmBHsdgg	R	0.8211848081123027	35	3	30	1	1	35	232	12	236	27	3	278	2974	2947	143	4	46	0.1802056702832373	0.04942837928715535	-0.47278911564625853	20.341808651449792	129.76025554817255	0.5979735278717629	35	17	0.047058823529411764	0.7785714285714286	0.6475060888284184	0.9009813761570201	0.1399439775910366	-0.34390006597513467	-0.04881991812627584	-0.03308575286968408	0.0	nan	0.7142857142857143	0.0	0.6857142857142857	0.0	0.0	0.0	0.0	0.0	0.6571428571428571	18.485714285714284	9.2	711.0168735294119	812.649425	25.200177450980394	1.5971583333333332	856.8060333333333	64.90767051282052	3.1085333333333334	390.6184	1.8857142857142857	2.0	3	14
Pawg2H_lab0	https://www.youtube.com/watch?v=Pawg2H_lab0	R	0.6863958617164374	18	13	9	1	0	23	109	47	75	5	2	129	16168	16089	632	21	209	0.2051074836501322	0.040388421573478474	-0.4678407350689127	53.62572856134475	423.9404489519689	0.3939966997694878	18	13	0.042483660130718956	0.9444444444444445	0.9444444444444445	0.0	0.042483660130718956	nan	inf		0.0	nan	0.17391304347826086	0.0	0.8260869565217391	0.0	0.0	0.0	0.21739130434782608	0.043478260869565216	0.043478260869565216	10.173913043478262	5.869565217391305	23.13530681818182	24.908408333333334	1.624602272727273	0.6424333333333334	35.74125	3.7764000000000006	1.4374583333333333	22.6584	1.6111111111111112	2.0	2	7
nhpF1d9bnRE	https://www.youtube.com/watch?v=nhpF1d9bnRE	L	0.2897186762164282	14	10	4	0	0	14	91	75	24	4	0	103	209102	137876	4133	363	1550	0.40477577937919296	0.021501468182992034	-0.4192615658362989	995.1552874110439	405.22021851193574	0.6391486096402772	14	0	0	0.0	0.0	0.0	0.0						0.21428571428571427	0.0	0.07142857142857142	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	6.928571428571429	2.4285714285714284	20.14253205128205	15.2769	3.815982051282051	3.415016666666667	49.60776666666667	3.815982051282051	3.415016666666667	8.43385	1.0	1.0	1	14
