State	p_0_k_original_tweets (All)	p_1_k_original_tweets (All)	p_2_k_original_tweets (All)	p_0_k_retweets (All)	p_1_k_retweets (All)	p_2_k_retweets (All)	p_0_k_quoted_tweets (All)	p_1_k_quoted_tweets (All)	p_2_k_quoted_tweets (All)	p_0_k_replies (All)	p_1_k_replies (All)	p_2_k_replies (All)	p_0_k_total_tweets (All)	p_1_k_total_tweets (All)	p_2_k_total_tweets (All)	p_0_k_users (All)	p_1_k_users (All)	p_2_k_users (All)	#users_1_k (All)	#users_2_k (All)	#users_all_k (All)	p_0_k_virality_original (All)	p_1_k_virality_original (All)	p_2_k_virality_original (All)	p_0_k_virality_retweet (All)	p_1_k_virality_retweet (All)	p_2_k_virality_retweet (All)	p_0_k_virality_quoted (All)	p_1_k_virality_quoted (All)	p_2_k_virality_quoted (All)	p_0_k_virality_reply (All)	p_1_k_virality_reply (All)	p_2_k_virality_reply (All)	p_0_k_virality_total (All)	p_1_k_virality_total (All)	p_2_k_virality_total (All)
AK	0.693877551020408	0.3695652173913043	0.532608695652174	0.281437125748503	0.2088888888888889	0.7422222222222222	0.7	0.3888888888888889	0.5555555555555556	8.0	0.8135593220338984	0.1016949152542373	0.5862068965517241	0.34517766497461927	0.5888324873096447	0.5652173913043478	0.3385416666666667	0.5989583333333334	65	115	192	1.43563307919099	0.2924411767252954	0.2037018935855757	0.8072670001457697	0.4197099859837904	0.5199147071638041	1.2810676448386136	0.5538346518325021	0.4323227224291291	16.665690069430063	0.9353960261200016	0.056127050378538	1.8759042533689	0.4444774631182253	0.2369403781243082
AL	0.5196078431372549	0.3072463768115942	0.591304347826087	0.2189655172413793	0.16240409207161124	0.7416879795396419	0.3125	0.21739130434782608	0.6956521739130435	0.19999999999999998	0.16	0.8	0.29545454545454547	0.20617696160267113	0.6978297161936561	0.47255369928400953	0.2911764705882353	0.6161764705882353	198	419	680	1.2129975479306556	0.33375132748457637	0.27514592099048185	0.6478686884531325	0.30258667772292946	0.46704939305740023	0.10589979102683729	0.06530445929897703	0.6166627777615489	0.027687583298500275	0.02576153892672475	0.9304365299415694	0.8282269393283879	0.304584921054277	0.3677553899674719
AR	0.2981366459627329	0.20512820512820512	0.688034188034188	0.20916905444126074	0.15698924731182795	0.7505376344086021	0.21875	0.16666666666666666	0.7619047619047619	0.39999999999999997	0.2857142857142857	0.7142857142857143	0.2405745062836625	0.17585301837270342	0.7309711286089239	0.44176706827309237	0.2716049382716049	0.6148148148148148	110	249	405	0.8517210899050708	0.31753951496964317	0.37282100764351717	1.0114292159549725	0.374961210445109	0.3707241243679892	0.11092607740518128	0.09851001949169375	0.8880690798419274	0.8293694065787047	0.4533635489891542	0.5466364510108456	0.8667989183652113	0.3415110766425947	0.3939911199781917
AZ	0.35443037974683544	0.2376237623762376	0.6704384724186704	0.2276176024279211	0.17341040462427745	0.761849710982659	0.609375	0.35454545454545455	0.5818181818181818	0.25333333333333335	0.19	0.75	0.272397721387882	0.19871552701171138	0.7295051001133358	0.4773242630385487	0.2966878083157153	0.6215644820295984	421	882	1419	0.8692212108064055	0.26778423083885516	0.3080737417698572	0.6960638531053563	0.35126402467608164	0.504643393144155	0.7219996176537392	0.32426791354392265	0.4491247718353183	0.38524927888477667	0.19744521332173098	0.512512869312299	0.7641231341209527	0.28955008506096974	0.378931185474535
CA	0.7958191541079241	0.40152072602403727	0.5045376502330144	0.5186817800167925	0.30513707088169917	0.5882934057792047	0.8424242424242423	0.42078708375378404	0.49949545913218973	0.09002572163475278	0.08194588969823101	0.9102497398543185	0.44752658344891355	0.284538506760729	0.6358024691358025	1.0719674985490424	0.456669551242428	0.42601063172209175	3694	3446	8089	1.9082057956362837	0.4659348491124634	0.24417431818830593	1.1637308079697302	0.4925245454850652	0.423228930704631	1.2292106556137707	0.41277160097485943	0.3358021662843086	0.7998121844497192	0.38211675663112143	0.4777581087915315	1.497149034000371	0.46713246179710355	0.3120146700084554
CO	0.6666666666666667	0.36450079239302696	0.5467511885895404	0.31005917159763313	0.21652892561983472	0.6983471074380165	0.4936708860759494	0.3	0.6076923076923076	0.198019801980198	0.15873015873015872	0.8015873015873016	0.4021897810218978	0.26275631855030995	0.6533142584644731	0.7038269550748752	0.3726872246696035	0.5295154185022026	423	601	1135	1.6953558990107045	0.3734319895236949	0.22026760855440716	0.9294049633883104	0.4224143714881664	0.45449980162380454	0.5091128408043607	0.293216034946602	0.5759352572670182	0.417682858565304	0.28044751879258956	0.6714365050935938	1.217378975673033	0.38148450780749954	0.3133654477617327
CT	0.5958904109589042	0.3359073359073359	0.5637065637065637	0.4163265306122449	0.24817518248175183	0.5961070559610706	0.7692307692307692	0.40816326530612246	0.5306122448979592	0.4285714285714285	0.24	0.56	0.4988399071925754	0.28897849462365593	0.5793010752688172	0.8114035087719298	0.37678207739307534	0.46435845213849286	185	228	491	1.2308989378953683	0.31432638073369	0.25536327236672707	0.9106196722833206	0.432842666196347	0.4753276031375664	0.7370613300889709	0.32933280355060957	0.44681872471976747	0.8821128937265845	0.08908922358853608	0.10099526287635213	1.0892189692672303	0.30080254888639113	0.2761635239319743
DC	1.596638655462185	0.5705705705705706	0.35735735735735735	0.7222222222222223	0.3357245337159254	0.4648493543758967	1.1228070175438596	0.47058823529411764	0.41911764705882354	4.1000000000000005	0.7192982456140351	0.17543859649122806	1.0372549019607842	0.43254292722812754	0.4170073589533933	1.52014652014652	0.4993983152827918	0.3285198555956679	415	273	831	2.7222535168434363	0.48990768497236403	0.17996401949383167	1.7054037620796627	0.5791944907413593	0.3396230872828953	2.195828036807684	0.6246711719174918	0.2844809162859787	3.0995487155625225	0.7055840221590769	0.22764088804812468	2.3352864184722604	0.5332397056492693	0.22834017336430773
DE	0.45714285714285713	0.2962962962962963	0.6481481481481481	0.45945945945945943	0.27419354838709675	0.5967741935483871	1.0	0.3333333333333333	0.3333333333333333	0.25	0.16666666666666666	0.6666666666666666	0.46551724137931033	0.27979274611398963	0.6010362694300518	1.0612244897959184	0.4297520661157025	0.4049586776859504	52	49	121	1.007280995189772	0.4829764549726632	0.47948532463046256	0.643015309845905	0.34149554602779103	0.5310846270668556	0.501213661510879	0.3338482381216623	0.666079685687929	2.934051968245255	0.33512751867458407	0.11422003505786953	0.8780331088429241	0.42800969949517276	0.48746419148043957
FL	0.5	0.30638297872340425	0.6127659574468085	0.23953911461491814	0.177209510991476	0.7397936294302377	0.5244444444444444	0.3129973474801061	0.596816976127321	0.24374999999999997	0.18396226415094338	0.7547169811320755	0.32034545089375377	0.22270315554314438	0.6951968723820162	0.517879680269247	0.3090635199598293	0.5967863419533015	1231	2377	3983	1.4462806887453912	0.3985991961853555	0.27560293052874085	0.6553497721506438	0.3618297402685384	0.5521169849210925	0.616737157764029	0.31515786099260534	0.5110083882981937	0.33405768695140986	0.13872548072691415	0.4152740264500855	1.0275452906169606	0.3757462650832169	0.365673677369112
GA	0.648854961832061	0.35966149506346967	0.5543018335684062	0.24470787468247251	0.16821885913853318	0.6874272409778812	0.271356783919598	0.20149253731343283	0.7425373134328358	0.2711864406779661	0.20253164556962025	0.7468354430379747	0.3351528384279476	0.2213410237923576	0.6604181687094448	0.6209068010075567	0.3209635416666667	0.5169270833333334	493	794	1536	1.7272789723886082	0.3973929933343848	0.23006879588468596	0.6551797600038859	0.3500510570541246	0.5342824647880582	0.2772133738490311	0.2130609238830977	0.7685809704084822	0.7019837734817541	0.3505800773145787	0.4994133633256851	1.1051378262458957	0.3755205324400156	0.33979520338711255
HI	0.719626168224299	0.3869346733668342	0.5376884422110553	0.47926267281105983	0.30409356725146197	0.6345029239766082	1.2857142857142858	0.54	0.42	0.7272727272727273	0.4	0.55	0.6067415730337079	0.353518821603928	0.5826513911620295	1.3870967741935485	0.5443037974683544	0.3924050632911392	172	124	316	0.6991292960291758	0.22796357010552343	0.3260678266527829	0.7153347076689628	0.18961991193038566	0.26507858474852103	0.338556572764984	0.24919692411743138	0.7360569670298989	0.9293343401776125	0.4381757679625185	0.47149421797840296	0.6917678769051853	0.2219276406797018	0.32081229569744757
IA	0.2944162436548224	0.2188679245283019	0.7433962264150943	0.41798941798941797	0.2607260726072607	0.6237623762376238	0.5263157894736842	0.3125	0.59375	0.3846153846153846	0.2631578947368421	0.6842105263157895	0.3636363636363636	0.2455573505654281	0.6752827140549273	0.7032967032967032	0.37317784256559766	0.5306122448979592	128	182	343	0.8145665633568704	0.35333106948704257	0.4337657416613655	1.3886520069845518	0.45506575526869647	0.3277032352092794	1.910687412841971	0.6390947507597297	0.3344842000131959	1.489210866415709	0.5503047220931252	0.3695277374772453	1.0074001454668484	0.3982968359136776	0.39537103275789115
ID	0.547945205479452	0.3125	0.5703125	0.143646408839779	0.11555555555555555	0.8044444444444444	1.0	0.4375	0.4375	0.13333333333333333	0.11764705882352941	0.8823529411764706	0.2717391304347826	0.19430051813471502	0.7150259067357513	0.42657342657342656	0.27232142857142855	0.6383928571428571	61	143	224	0.9651558669844106	0.4158655204797269	0.4308791302062759	0.28130010598638727	0.176574439607442	0.6277084005648644	7.270963310394021	0.7945351473427662	0.10927508686599459	0.3000552515157463	0.23080192258437413	0.7691980774156258	0.7813322021169633	0.3725203609970747	0.4767758963316213
IL	0.9393939393939394	0.4380434782608696	0.46630434782608693	0.5694294940796555	0.19797904191616766	0.3476796407185629	1.0454545454545454	0.3150684931506849	0.3013698630136986	0.6833333333333333	0.35964912280701755	0.5263157894736842	0.7021563342318059	0.2654777070063694	0.3780891719745223	1.133879781420765	0.30369557263080865	0.2678375411635565	830	732	2733	2.940508941604129	0.5003712375792337	0.17016484136459298	1.4844188804058922	0.525996714052403	0.3543452060570511	1.3023898236239224	0.44162242485686043	0.3390862066382232	0.6513267438201166	0.29870231813156933	0.4586059469624127	1.9924504940697096	0.48928780323545773	0.24557087099115602
IN	0.6199095022624435	0.35128205128205126	0.5666666666666667	0.2682926829268293	0.1925601750547046	0.7177242888402626	0.392156862745098	0.2597402597402597	0.6623376623376623	0.4	0.2702702702702703	0.6756756756756757	0.35991605456453307	0.24188998589562766	0.6720733427362482	0.5928270042194093	0.33254437869822484	0.5609467455621302	281	474	845	1.0392744786381212	0.2920943387349841	0.28105601045620626	0.7110045769925013	0.373062160439389	0.5246972699070593	0.7479708521075766	0.3109136889577445	0.4156762099507956	1.0094594495696738	0.24427599883378653	0.24198693561977141	0.884019890751366	0.3143819484752727	0.35562768639523046
KS	0.5045045045045045	0.30939226519337015	0.6132596685082873	0.3546099290780142	0.24213075060532688	0.6828087167070218	0.6666666666666666	0.37209302325581395	0.5581395348837209	0.45454545454545453	0.29411764705882354	0.6470588235294118	0.41355140186915884	0.2706422018348624	0.654434250764526	0.6244725738396625	0.34823529411764703	0.5576470588235294	148	237	425	0.846360073285247	0.34904832496365285	0.41241114270523227	1.1538690393667392	0.5001983488538524	0.43349663764994406	0.587094419626615	0.2949690456102838	0.502421817938383	0.4501138030562368	0.28541734195672785	0.6341003986520006	0.9109789801485674	0.39743091934863184	0.4362679359339517
KY	0.4682080924855492	0.29136690647482016	0.6223021582733813	0.296037296037296	0.20991735537190082	0.7090909090909091	0.43589743589743585	0.27419354838709675	0.6290322580645161	0.2222222222222222	0.17391304347826086	0.782608695652174	0.34749620637329287	0.2365702479338843	0.6807851239669421	0.5266272189349113	0.31393298059964725	0.5961199294532628	178	338	567	0.8313180769660867	0.2708780530280604	0.32584164898306517	0.8980643720294537	0.41972261272999906	0.46736361646493807	0.5349558761960835	0.3483677528714265	0.6512083862851809	0.28007739290913025	0.2029827995026803	0.7247382496470791	0.8119949830193609	0.31117790034013615	0.3832263829796551
LA	0.5574712643678161	0.3222591362126246	0.5780730897009967	0.2716049382716049	0.18712029161603888	0.6889428918590522	0.4848484848484849	0.3076923076923077	0.6346153846153846	0.13043478260869565	0.10714285714285714	0.8214285714285714	0.33877038895859474	0.22425249169435216	0.6619601328903655	0.5942408376963351	0.3219858156028369	0.5418439716312057	227	382	705	1.4236099271400164	0.2718831081359222	0.19098146406026126	0.840965210845043	0.4171507036355232	0.49603800282814287	0.579721045133983	0.36416845335048154	0.6281787704745413	0.08806441180128712	0.07330772364511694	0.8324330129011944	1.019088760900099	0.30950179353777935	0.3037044518717048
