State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
AK	0.875	0.4375	0.5	0.4736842105263158	0.3	0.6333333333333333	3.0	0.75	0.25	0.0	0.0	1.0	0.6333333333333333	0.36538461538461536	0.5769230769230769	0.7727272727272727	0.40476190476190477	0.5238095238095238	17	22	42	1.6871272719820594	0.5984729999883502	0.35472901773750376	1.5087682929458621	0.6010449657780014	0.39836797246346173	124.28176934113183	0.9920179926795487	0.007982007320451255	0.0	0.0	1.0	1.9327648617613913	0.6376251879552298	0.32990313543580324
AL	0.5172413793103449	0.3	0.58	0.2	0.15625	0.78125	0.25	0.18181818181818182	0.7272727272727273	0.5	0.3333333333333333	0.6666666666666666	0.28947368421052627	0.20625	0.7125	0.3333333333333333	0.23255813953488372	0.6976744186046512	30	90	129	2.3003103302337546	0.2823974357370314	0.1227649295946667	0.7585248402655116	0.2552301731564838	0.33648228720781753	0.03799966500584283	0.012097173105506866	0.31834946712416556	0.0	0.0	1.0	0.9027215212664893	0.22451623001069826	0.2487103992997854
AR	0.17647058823529413	0.13953488372093023	0.7906976744186046	0.53125	0.288135593220339	0.5423728813559322	0.25	0.2	0.8	nan	1.0	0.0	0.35714285714285715	0.23148148148148148	0.6481481481481481	0.4893617021276596	0.2948717948717949	0.6025641025641025	23	47	78	0.8877807028669589	0.41833580328857173	0.4712152471185925	2.5917258641332905	0.6802168327235315	0.26245709167663284	2.1016536801999686	0.6775913421979696	0.32240865780203043	nan	1.0	0.0	1.3968457291700314	0.5319596430505412	0.38082920106475715
AZ	0.42500000000000004	0.26356589147286824	0.6201550387596899	0.3466666666666667	0.2290748898678414	0.6607929515418502	0.4615384615384615	0.3	0.65	0.6	0.375	0.625	0.38306451612903225	0.24739583333333334	0.6458333333333334	0.47928994082840237	0.2872340425531915	0.599290780141844	81	169	282	1.1610337188602955	0.2853874657335496	0.24580463176702075	1.0009405397768254	0.43936872842428326	0.4389558729654881	1.0131097345652984	0.4812569024447479	0.4750293931893211	0.5100439130290525	0.3377676030665471	0.6622323969334529	1.0759552441250495	0.3237168312764831	0.3008645880430879
CA	0.84375	0.4096551724137931	0.48551724137931035	0.6317567567567568	0.33663366336633666	0.5328532853285328	1.8181818181818183	0.5780346820809249	0.3179190751445087	0.9142857142857143	0.4383561643835616	0.4794520547945205	0.776595744680851	0.38568683957732947	0.4966378482228626	0.9315866084425036	0.41939711664482304	0.45019659239842724	640	687	1526	2.4670699995349405	0.4952258924179033	0.20073443092869547	1.3030092983125825	0.52360255698041	0.4018409981099011	1.8755986801395803	0.37905885986090104	0.2021001954600927	1.6899225079260909	0.3483996705256399	0.20616310445690403	1.927547689302886	0.4888470630150854	0.2536108785935569
CO	0.5079365079365079	0.3106796116504854	0.6116504854368932	0.3217391304347826	0.21893491124260356	0.6804733727810651	1.0	0.42105263157894735	0.42105263157894735	0.3333333333333333	0.25	0.75	0.4126984126984127	0.26440677966101694	0.6406779661016949	0.6403508771929824	0.3492822966507177	0.5454545454545454	73	114	209	1.4655722540403808	0.530921976219065	0.36226257337731815	0.9902897716402314	0.4478312793747528	0.4522224627575456	0.36217102174731314	0.20587437877824905	0.568445199687698	0.06268707653260722	0.05898921509156392	0.9410107849084361	1.1531709087837168	0.47795266834154326	0.41446819781957034
CT	0.8636363636363636	0.4222222222222222	0.4888888888888889	0.657142857142857	0.3333333333333333	0.5072463768115942	3.0	0.75	0.25	0.39999999999999997	0.2857142857142857	0.7142857142857143	0.7812500000000001	0.3875968992248062	0.49612403100775193	1.0487804878048779	0.4387755102040816	0.41836734693877553	43	41	98	2.3918654590399195	0.3327077571423152	0.13909969554719942	2.190728027430307	0.6475085692747201	0.29556775700461485	1.3356109844071102	0.5718465075407889	0.4281534924592109	nan	1.0	0.0	2.2987104663857507	0.39948337588409727	0.17378586025764378
DC	1.0740740740740742	0.4603174603174603	0.42857142857142855	1.1388888888888888	0.41836734693877553	0.3673469387755102	1.5555555555555556	0.5384615384615384	0.34615384615384615	0.5	0.2857142857142857	0.5714285714285714	1.131578947368421	0.44329896907216493	0.3917525773195876	1.3962264150943398	0.4774193548387097	0.3419354838709677	74	53	155	1.358595353639672	0.5080491418316474	0.3739517734037479	4.938196530625967	0.7853343395807015	0.1590326214661919	1.420941389786741	0.5862545361902586	0.4125817858527194	0.08242354481065553	0.07383080444655461	0.8957489588218964	1.7435568036376328	0.5788168039699993	0.3319747327775024
DE	0.19999999999999998	0.16666666666666666	0.8333333333333334	0.375	0.21428571428571427	0.5714285714285714	nan	1.0	0.0	nan	nan	nan	0.3846153846153846	0.23809523809523808	0.6190476190476191	0.5555555555555556	0.29411764705882354	0.5294117647058824	5	9	17	0.16987205533004715	0.1452056697620001	0.8547943302379999	1.908284130292256	0.49634170731583405	0.2600984305412731	nan	1.0	0.0	nan	nan	nan	0.6033103705163103	0.33121056296135126	0.5489886783777689
FL	0.41532258064516125	0.2627551020408163	0.6326530612244898	0.3393393393393393	0.23061224489795917	0.6795918367346939	0.45833333333333337	0.2391304347826087	0.5217391304347826	0.25	0.2	0.8	0.3719806763285024	0.24367088607594936	0.6550632911392406	0.40503432494279185	0.25615050651230103	0.6324167872648335	177	437	691	1.8424572135665263	0.366779753451824	0.19907097475649496	0.7170800719374694	0.38076478816700204	0.5309934037606409	0.3251321509736834	0.0970992326744225	0.2986454350442932	0.40222321108121056	0.2868467786744656	0.7131532213255342	1.311059534464965	0.3637052625100529	0.2774132317785849
