State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
NH	0.3043478260869565	0.23333333333333334	0.7666666666666667	0.35294117647058826	0.2608695652173913	0.7391304347826086	0.3333333333333333	0.25	0.75	0.0	0.0	1.0	0.3076923076923077	0.23529411764705882	0.7647058823529411	0.4090909090909091	0.2903225806451613	0.7096774193548387	18	44	62	0.2590839105424856	0.20577175863589378	0.7942282413641063	1.3217154788566585	0.5692840018052275	0.4307159981947726	0.0	0.0	1.0	0.0	0.0	1.0	0.51560595259552	0.34019789359663677	0.6598021064033633
NJ	0.5785123966942148	0.30837004405286345	0.5330396475770925	0.24369747899159663	0.1853035143769968	0.7603833865814696	0.9411764705882353	0.47058823529411764	0.5	0.028571428571428574	0.027522935779816515	0.963302752293578	0.3056133056133056	0.21522693997071743	0.7042459736456809	0.5092592592592592	0.3064066852367688	0.6016713091922006	110	216	359	1.7174453152347722	0.4684349486124735	0.272751012481838	0.7277344919891146	0.3291315225382306	0.4522686861228968	1.2610805902558093	0.44427411231654007	0.352296368486981	0.0	0.0	0.9157656644193555	1.3020565271728002	0.4273684222438914	0.3282257055090005
NM	0.7142857142857142	0.3409090909090909	0.4772727272727273	0.20454545454545453	0.16981132075471697	0.8301886792452831	0.3333333333333333	0.25	0.75	nan	nan	nan	0.36619718309859156	0.24761904761904763	0.6761904761904762	0.45283018867924524	0.2926829268292683	0.6463414634146342	24	53	82	1.4736674508383438	0.2787681337360779	0.18916624207007596	0.20238219435114949	0.1683176907492068	0.831682309250793	0.4651322861008831	0.3174677744210572	0.6825322255789427	nan	nan	nan	0.8584683181992907	0.2637031704854888	0.3071786866155158
NV	0.76	0.37623762376237624	0.49504950495049505	0.18811881188118812	0.14960629921259844	0.7952755905511811	0.09999999999999999	0.08333333333333333	0.8333333333333334	0.043478260869565216	0.041666666666666664	0.9583333333333334	0.32065217391304346	0.22348484848484848	0.696969696969697	0.4174757281553398	0.2654320987654321	0.6358024691358025	43	103	162	1.7445419291601747	0.46715255378828296	0.26777949327544737	0.292554619485943	0.2042611298102991	0.6981982720669828	0.5390335333571427	0.3411067933639242	0.6328118238571998	0.0	0.0	1.0	0.8971538420490915	0.3756623934260196	0.418726840168248
NY	0.6854663774403471	0.341991341991342	0.4989177489177489	0.5522174535050072	0.3356521739130435	0.6078260869565217	0.6223776223776224	0.36929460580912865	0.5933609958506224	0.6666666666666666	0.3492063492063492	0.5238095238095238	0.6085329341317365	0.34188393608074014	0.5618166526492852	0.8945147679324895	0.424	0.474	636	711	1500	1.694479860538237	0.3624146087670445	0.21387956104236414	1.5964704185127019	0.5079720868681018	0.31818446554201546	1.16841126520983	0.48160196522655047	0.4121853148514976	0.6894191559666607	0.1535165404906324	0.22267518847134593	1.6175002140292871	0.39544404189654186	0.2444785097811318
OH	0.43500000000000005	0.25892857142857145	0.5952380952380952	0.23367697594501716	0.17616580310880828	0.7538860103626943	0.3928571428571429	0.2619047619047619	0.6666666666666666	0.17647058823529413	0.15	0.85	0.31529850746268656	0.21556122448979592	0.6836734693877551	0.396011396011396	0.25226860254083483	0.6370235934664247	139	351	551	1.7137406105371533	0.46926909906343406	0.27382737864649587	0.8201580508004429	0.33535371649917856	0.408889135663408	0.4442627196858052	0.1807527146433891	0.4068599651377959	1.459027053332005	0.5933350962345085	0.4066649037654915	1.441989024197485	0.43703473990819486	0.30307771597042443
OK	0.24691358024691357	0.18018018018018017	0.7297297297297297	0.16216216216216217	0.13333333333333333	0.8222222222222222	0.27272727272727276	0.2	0.7333333333333333	0.0	0.0	0.7142857142857143	0.1971153846153846	0.15298507462686567	0.7761194029850746	0.2651515151515152	0.19444444444444445	0.7333333333333333	35	132	180	0.4460889260297394	0.257911914803365	0.5781625585257654	0.4720021546792893	0.26548780962859425	0.5624716052599059	0.3040432542881734	0.21386783264388046	0.7034125231444065	0.0	0.0	0.33960324843823575	0.4424738088985394	0.2543103102765459	0.5747465842319721
OR	0.4140127388535032	0.26	0.628	0.4382716049382716	0.2886178861788618	0.6585365853658537	1.9	0.6551724137931034	0.3448275862068966	0.7999999999999999	0.4444444444444444	0.5555555555555556	0.4760479041916168	0.29775280898876405	0.6254681647940075	0.7426900584795322	0.3981191222570533	0.5360501567398119	127	171	319	1.4985229472101302	0.41686600066376095	0.2781845959982526	1.1126264797441459	0.46820423597402283	0.4208098984680724	7.275027752645453	0.8791544838408176	0.12084551615918256	14.248543895589117	0.934419967778742	0.06558003222125791	1.6154781345781133	0.47199307314493827	0.29216927363006406
PA	0.8974358974358975	0.3867403314917127	0.430939226519337	0.4189189189189189	0.28703703703703703	0.6851851851851852	0.5185185185185185	0.2857142857142857	0.5510204081632653	0.13043478260869565	0.1111111111111111	0.8518518518518519	0.5597609561752989	0.32298850574712645	0.5770114942528736	0.6136363636363636	0.33689839572192515	0.5490196078431373	189	308	561	3.343631351624362	0.45979485483295574	0.13751362111423673	1.1205710367957509	0.473675717497983	0.4227092276563284	0.7384299881222258	0.3340595143092152	0.45239158712758193	0.07770202631279459	0.06857717926736104	0.8825661636068424	2.095743353072501	0.4516257515570888	0.21549668803433156
RI	0.9	0.391304347826087	0.43478260869565216	0.9	0.45	0.5	0.5	0.3333333333333333	0.6666666666666666	nan	0.5	0.0	0.9090909090909092	0.4166666666666667	0.4583333333333333	1.0625	0.4358974358974359	0.41025641025641024	17	16	39	3.071048206391106	0.4367499912124316	0.14221528346690182	5.742586193157704	0.8410466095145824	0.14645781207719444	0.008626192037283698	0.008552417243756081	0.9914475827562439	nan	0.0	0.0	3.001316757687858	0.33913340634194217	0.11299487315800762
SC	0.2484472049689441	0.17857142857142858	0.71875	0.09523809523809525	0.08484848484848485	0.8909090909090909	0.2727272727272727	0.21428571428571427	0.7857142857142857	0.0	0.0	1.0	0.17484662576687118	0.13902439024390245	0.7951219512195122	0.25	0.18666666666666668	0.7466666666666667	42	168	225	0.8867282993630837	0.28243309871270933	0.31851143006891114	0.331786340263948	0.22798145644564327	0.6871333408852088	0.4121259363361456	0.29184786266686213	0.7081521373331378	0.0	0.0	1.0	0.6817572102161813	0.2687200046977867	0.39415792113526327
