State	p_0_k_original_tweets (L)	p_0_k_original_tweets (R)	p_1_k_original_tweets (L)	p_1_k_original_tweets (R)	p_2_k_original_tweets (L)	p_2_k_original_tweets (R)	p_0_k_retweets (L)	p_0_k_retweets (R)	p_1_k_retweets (L)	p_1_k_retweets (R)	p_2_k_retweets (L)	p_2_k_retweets (R)	p_0_k_quoted_tweets (L)	p_0_k_quoted_tweets (R)	p_1_k_quoted_tweets (L)	p_1_k_quoted_tweets (R)	p_2_k_quoted_tweets (L)	p_2_k_quoted_tweets (R)	p_0_k_replies (L)	p_0_k_replies (R)	p_1_k_replies (L)	p_1_k_replies (R)	p_2_k_replies (L)	p_2_k_replies (R)	p_0_k_total_tweets (L)	p_0_k_total_tweets (R)	p_1_k_total_tweets (L)	p_1_k_total_tweets (R)	p_2_k_total_tweets (L)	p_2_k_total_tweets (R)	p_0_k_users (L)	p_0_k_users (R)	p_1_k_users (L)	p_1_k_users (R)	p_2_k_users (L)	p_2_k_users (R)	#users_1_k (L)	#users_1_k (R)	#users_2_k (L)	#users_2_k (R)	#users_all_k (L)	#users_all_k (R)	p_0_k_virality_original (L)	p_0_k_virality_original (R)	p_1_k_virality_original (L)	p_1_k_virality_original (R)	p_2_k_virality_original (L)	p_2_k_virality_original (R)	p_0_k_virality_retweet (L)	p_0_k_virality_retweet (R)	p_1_k_virality_retweet (L)	p_1_k_virality_retweet (R)	p_2_k_virality_retweet (L)	p_2_k_virality_retweet (R)	p_0_k_virality_quoted (L)	p_0_k_virality_quoted (R)	p_1_k_virality_quoted (L)	p_1_k_virality_quoted (R)	p_2_k_virality_quoted (L)	p_2_k_virality_quoted (R)	p_0_k_virality_reply (L)	p_0_k_virality_reply (R)	p_1_k_virality_reply (L)	p_1_k_virality_reply (R)	p_2_k_virality_reply (L)	p_2_k_virality_reply (R)	p_0_k_virality_total (L)	p_0_k_virality_total (R)	p_1_k_virality_total (L)	p_1_k_virality_total (R)	p_2_k_virality_total (L)	p_2_k_virality_total (R)
AK	nan	0.0	0.9	0.0	0.0	0.7777777777777778	40.0	0.0	1.0	0.0	0.025	0.9	nan	0.0	1.0	0.0	0.0	0.5	nan	nan	nan	nan	0.3333333333333333	0.6666666666666666	31.08695652173913	0.0	0.9565217391304348	0.0	0.03076923076923077	0.8307692307692308	18.94736842105263	0.0	0.9473684210526315	0.0	0.05	0.8	18	0	2	32	20	32	nan	0.0	0.7768244667054964	0.0	0.0	0.47139772617426345	48.57032681975612	0.0	1.0	0.0	0.020588702310177728	0.8111950988559548	nan	0.0	1.0	0.0	0.0	0.1057467845486704	nan	nan	nan	nan	0.0	1.0	221.02107549898446	0.0	0.9042069636943849	0.0	0.0040910440855154535	0.5041988138249418
AL	22.77777777777778	0.07231040564373897	0.5555555555555556	0.05555555555555555	0.024390243902439025	0.7682926829268293	146.52380952380952	0.12600946811473127	0.8095238095238095	0.11904761904761904	0.0055248618784530384	0.9447513812154696	nan	0.15238095238095237	0.42857142857142855	0.14285714285714285	0.0	0.9375	nan	1.0	0.0	1.0	0.0	1.0	61.58620689655172	0.12862616310892172	0.6551724137931034	0.11494252873563218	0.010638297872340425	0.8936170212765957	46.58823529411765	0.13310924369747898	0.7058823529411765	0.11764705882352941	0.015151515151515152	0.8838383838383839	48	8	3	175	51	183	41.94421777842304	0.14057855248169762	0.597770521564299	0.05775850235822573	0.014251559648152608	0.41086283318890693	276.3157664567193	0.11379753188350734	0.8412658000779503	0.09374644292521098	0.0030445812443703675	0.8238003177536193	nan	0.3420550797631129	0.4306494059835098	0.26290795988754395	0.0	0.7686129382133967	nan	1.0	0.0	1.0	0.0	1.0	60.595615010874404	0.20935611400594162	0.6353279883933436	0.11396110483056239	0.010484718874118672	0.544340944479549
AR	nan	0.5588117221999196	0.3829787234042553	0.5106382978723404	0.0	0.9137931034482759	36.0	0.10666666666666667	0.9	0.1	0.025	0.9375	nan	0.0	1.0	0.0	0.0	1.0	0.0	1.1	0.0	1.0	0.09090909090909091	0.9090909090909091	24.836158192090398	0.4738797306710007	0.4745762711864407	0.4406779661016949	0.01910828025477707	0.9299363057324841	16.564102564102566	0.17451205510907006	0.6538461538461539	0.15384615384615385	0.039473684210526314	0.881578947368421	17	4	3	67	20	71	nan	0.6689585421094256	0.32756296424897346	0.6111348185145453	0.0	0.9135615737672698	10.419215544459309	0.06169306091853967	0.9459972136484608	0.05400278635153917	0.09079351603888448	0.8753461985432229	nan	0.0	1.0	0.0	0.0	1.0	nan	1.0	0.0	1.0	0.0	1.0	11.1379636220027	0.6463203908150601	0.3589117532693434	0.5860687900465033	0.03222418077935938	0.9067775028843281
AZ	16.8	0.1568627450980392	0.45652173913043476	0.13043478260869565	0.02717391304347826	0.8315217391304348	85.23270440251572	0.05929919137466307	0.8301886792452831	0.05660377358490566	0.00974025974025974	0.9545454545454546	7.111111111111111	0.13333333333333333	0.8888888888888888	0.1111111111111111	0.125	0.8333333333333334	nan	0.0	1.0	0.0	0.0	1.0	32.97520661157025	0.10013175230566534	0.6818181818181818	0.09090909090909091	0.020676691729323307	0.9078947368421053	23.32903225806452	0.12070070497756889	0.6881720430107527	0.10752688172043011	0.029498525073746312	0.8908554572271387	64	10	10	302	74	312	25.229766073348525	0.05928421581359895	0.43591459544712496	0.04313142571635297	0.01727778982095294	0.7275364129293119	151.5870257726411	0.010575593180849585	0.8662396265395196	0.010015883748890194	0.005714470761097689	0.9470753628294895	2.40967361438809	0.4516063638407212	0.6853696821310565	0.31463031786894347	0.2844242797193505	0.6966915062780462	nan	0.0	1.0	0.0	0.0	1.0	28.746912558483196	0.06659384869110745	0.5919808516957772	0.052689232184160294	0.020592849770960327	0.7912026894339282
CA	11.038827116212339	0.06392747031350163	0.624103299856528	0.05308464849354376	0.05653710247349823	0.8303886925795053	30.27963375402128	0.0758914481250925	0.8195991091314031	0.07126948775055679	0.02706766917293233	0.9390977443609022	9.079289940828403	0.046630360789652825	0.8615384615384616	0.038461538461538464	0.0948905109489051	0.8248175182481752	2.1970310391363026	0.07160135462022255	0.5641025641025641	0.05128205128205128	0.25675675675675674	0.7162162162162162	14.680936147895633	0.06515531960685846	0.7125475285171102	0.05779467680608365	0.048535564853556486	0.8870292887029289	13.097016331658292	0.08999484602499677	0.7625628140703518	0.07663316582914573	0.05822416302765648	0.851528384279476	607	61	80	1170	687	1231	7.336264464116022	0.0738523619500321	0.6020468638214819	0.0594628766798303	0.08206449846052886	0.805158766893094	20.93612724671061	0.08799804842836499	0.7916114586692229	0.0797073240156811	0.03781078751293878	0.9057851331847095	5.899024912623218	0.04658102311729245	0.9063857207587119	0.03658470531144226	0.15365009203794908	0.7853993507038445	38.05913572556494	0.028951854944078512	0.39523430887825245	0.028451621937697864	0.01038474209525381	0.982721901330783	9.475863567014606	0.07169390540844169	0.6523594400840711	0.06061950479453586	0.06884432595198271	0.8455321892312222
CO	37.487804878048784	0.10315040650406505	0.6463414634146342	0.08536585365853659	0.017241379310344827	0.8275862068965517	38.327586206896555	0.2706750438340152	0.6206896551724138	0.25862068965517243	0.016194331983805668	0.9554655870445344	6.428571428571429	0.16071428571428573	0.7142857142857143	0.14285714285714285	0.1111111111111111	0.8888888888888888	6.0	0.0	1.0	0.0	0.16666666666666666	0.6666666666666666	27.60135135135135	0.17085764742014742	0.6418918918918919	0.1554054054054054	0.023255813953488372	0.9095607235142119	19.80952380952381	0.16416732438831885	0.6666666666666666	0.14285714285714285	0.03365384615384615	0.8701923076923077	70	15	7	181	77	196	40.321085060810326	0.1162407619527772	0.5557644017255036	0.10246235634568594	0.013783468398415528	0.8814666613017494	93.95893643041867	0.22534673604485728	0.6412689434954048	0.2131384155642334	0.006824991510736147	0.9458242852996385	0.9925686000054087	0.5027261123644263	0.4200453818081622	0.2899773090959189	0.4231902780380855	0.5768097219619145	nan	0.0	1.0	0.0	0.0	0.8815595397464	34.7836308899971	0.15701603954692794	0.5805363047110941	0.14144010868536155	0.01668992827537282	0.9008003837919301
CT	12.16	0.14250000000000002	0.64	0.12	0.05263157894736842	0.8421052631578947	11.097222222222223	0.0	0.7083333333333334	0.0	0.06382978723404255	0.8617021276595744	nan	0.0	1.0	0.0	0.0	0.7777777777777778	nan	0.5	0.5	0.5	0.0	1.0	12.458333333333332	0.08394160583941605	0.6964285714285714	0.07142857142857142	0.055900621118012424	0.8509316770186336	9.5390625	0.10511363636363635	0.6875	0.08333333333333333	0.07207207207207207	0.7927927927927928	33	4	8	88	41	92	7.465976785650636	0.03987408017504236	0.7438890640313048	0.030404896520533273	0.09963720560463507	0.762522831550207	2.52731320143165	0.0	0.6188780916661062	0.0	0.24487589876693147	0.6829693350487722	nan	0.0	1.0	0.0	0.0	0.9666162598511301	nan	0.6838327444665617	0.3161672555334383	0.6838327444665617	0.0	1.0	5.424794720411715	0.06360645888663898	0.711371225004141	0.048018709171257695	0.13113329843200988	0.7549344832548821
DC	17.727272727272727	0.04151586118799234	0.8181818181818182	0.03896103896103896	0.046153846153846156	0.9384615384615385	9.811475409836065	0.045360496578067795	0.860655737704918	0.040983606557377046	0.08771929824561403	0.9035087719298246	5.314285714285714	0.05677655677655677	0.8571428571428571	0.047619047619047616	0.16129032258064516	0.8387096774193549	nan	0.0	1.0	0.0	0.0	1.0	10.42246913580247	0.04398009950248757	0.8488888888888889	0.04	0.08144796380090498	0.9095022624434389	5.175	0.05714285714285715	0.8117647058823529	0.047058823529411764	0.1568627450980392	0.8235294117647058	138	8	16	84	154	92	6.935130768714759	0.08192680837678838	0.8236134969412067	0.07088954670259445	0.11875962031698523	0.8652789985003123	2.7653025657163472	0.029565703594031635	0.7799814981770579	0.021134708578011037	0.2820600927533602	0.7148386816093717	3.947181488029199	0.06841595429036852	0.8862793315145056	0.05305419643421539	0.22453473046586941	0.7754652695341306	nan	0.0	1.0	0.0	0.0	1.0	3.7819418609961217	0.06148797702919627	0.8128713151148306	0.04786927042173473	0.2149349051338217	0.7785143166932458
DE	nan	0.36363636363636365	0.3333333333333333	0.3333333333333333	0.0	0.9166666666666666	6.0	0.0	1.0	0.0	0.16666666666666666	0.7777777777777778	nan	0.0	0.6666666666666666	0.0	0.0	0.6666666666666666	nan	nan	nan	nan	nan	nan	8.642857142857142	0.0873015873015873	0.7857142857142857	0.07142857142857142	0.09090909090909091	0.8181818181818182	6.90909090909091	0.11515151515151516	0.7272727272727273	0.09090909090909091	0.10526315789473684	0.7894736842105263	8	1	2	15	10	16	nan	0.1077900417392276	0.3872638251733902	0.08917427042756217	0.0	0.8272960005275639	1.1708567387670488	0.0	1.0	0.0	0.8540754533753064	0.14240667865419276	nan	0.0	0.6386794173912634	0.0	0.0	0.6682167592667791	nan	nan	nan	nan	nan	nan	1.0628401261755211	0.12776930055439156	0.5245748074154183	0.05500881678394	0.49355946816105456	0.4305323465437824
FL	14.176694592536176	0.07543150403059866	0.7491749174917491	0.0627062706270627	0.052845528455284556	0.8313008130081301	30.953424657534242	0.10208913145624751	0.7671232876712328	0.0958904109589041	0.024783147459727387	0.9392812887236679	20.470000000000002	0.04395061728395062	0.92	0.04	0.0449438202247191	0.9101123595505618	25.55	0.2147058823529412	0.7	0.2	0.0273972602739726	0.9315068493150684	21.420414812460265	0.08257554824285966	0.762396694214876	0.0743801652892562	0.03559206023271732	0.9007529089664613	15.84703366189325	0.11645315178884084	0.6819787985865724	0.10247349823321555	0.04303510758776897	0.8799546998867497	193	29	38	777	231	806	22.690998409940107	0.10439770320030221	0.7126124706861225	0.0782174098179599	0.03140507340452471	0.7492253892586928	9.740842108909389	0.2172302344761722	0.659093418119747	0.19153582771690075	0.06766287870705881	0.8817180913088327	12.799710154321938	0.002674424046527311	0.9973856274981727	0.00229247739329336	0.07792251664084725	0.8571854550403473	15.752573828739251	0.4030516426054115	0.5763287667466306	0.3859525282180848	0.03658632379777627	0.9575758722212508	14.545053823821279	0.11820415061310571	0.7108215120384344	0.09659292337224751	0.04887032531115703	0.8171703182268619
