State	p_0_k_original_tweets (All)	p_1_k_original_tweets (All)	p_2_k_original_tweets (All)	p_0_k_retweets (All)	p_1_k_retweets (All)	p_2_k_retweets (All)	p_0_k_quoted_tweets (All)	p_1_k_quoted_tweets (All)	p_2_k_quoted_tweets (All)	p_0_k_replies (All)	p_1_k_replies (All)	p_2_k_replies (All)	p_0_k_total_tweets (All)	p_1_k_total_tweets (All)	p_2_k_total_tweets (All)	p_0_k_users (All)	p_1_k_users (All)	p_2_k_users (All)	#users_1_k (All)	#users_2_k (All)	#users_all_k (All)	p_0_k_virality_original (All)	p_1_k_virality_original (All)	p_2_k_virality_original (All)	p_0_k_virality_retweet (All)	p_1_k_virality_retweet (All)	p_2_k_virality_retweet (All)	p_0_k_virality_quoted (All)	p_1_k_virality_quoted (All)	p_2_k_virality_quoted (All)	p_0_k_virality_reply (All)	p_1_k_virality_reply (All)	p_2_k_virality_reply (All)	p_0_k_virality_total (All)	p_1_k_virality_total (All)	p_2_k_virality_total (All)
AK	0.5074626865671642	0.29694323144104806	0.5851528384279476	0.12707182320441987	0.11057692307692307	0.8701923076923077	0.5625	0.36	0.64	0.28	0.21212121212121213	0.7575757575757576	0.24208566108007448	0.18492176386913228	0.7638691322901849	0.3333333333333333	0.23776223776223776	0.7132867132867133	68	204	286	0.7631332543800098	0.3139546330463014	0.411402112598758	0.6334084396724361	0.338458213662029	0.5343443384446549	1.2697928365722666	0.5594311586998608	0.4405688413001394	1.3335588783360777	0.5032037082830401	0.3773389510262215	0.7588270900666299	0.3393113699380966	0.44715242033373226
AL	0.43076923076923074	0.24724061810154527	0.5739514348785872	0.1708185053380783	0.14142604596346495	0.8279316440777843	0.2975206611570248	0.21951219512195122	0.7378048780487805	0.45238095238095244	0.2878787878787879	0.6363636363636364	0.24856321839080456	0.18319802329685844	0.737027885633604	0.38154897494305234	0.25868725868725867	0.677992277992278	335	878	1295	1.1057531218939811	0.2914452512659596	0.2635717191254769	0.6032473450123581	0.3412755548321626	0.5657307200003859	0.6568393500352588	0.35308321313974905	0.5375488132993185	1.2367350085558904	0.43125547289304866	0.34870483160060023	0.890551370819085	0.3116151666568329	0.349912623648229
AR	0.4114583333333333	0.26421404682274247	0.6421404682274248	0.12049861495844875	0.10357142857142858	0.8595238095238096	0.29310344827586204	0.21518987341772153	0.7341772151898734	0.25	0.1875	0.75	0.2260726072607261	0.1733080328905756	0.7666034155597723	0.31807228915662655	0.22797927461139897	0.7167530224525043	132	415	579	1.041945930148925	0.3493719500459341	0.33530717855579945	0.39015812619293366	0.21821339438420123	0.5592947570090965	0.7607842541233831	0.36820213998398604	0.4839770775858768	0.38548045944371	0.17149499388954842	0.4448863481615495	0.7477215561169216	0.3042526391976803	0.4069063366017285
AZ	0.25650224215246636	0.17919799498746866	0.6986215538847118	0.10635310635310635	0.09351851851851851	0.879320987654321	0.25123152709359603	0.19615384615384615	0.7807692307692308	0.11708860759493672	0.10109289617486339	0.8633879781420765	0.15101494534909657	0.12394727206151593	0.8207616257781033	0.31344262295081965	0.2236780533458119	0.7136172204024334	478	1525	2137	0.6813438797771687	0.2865025689888367	0.42049628314344945	0.37087437583085486	0.2251257931557109	0.6070136084526484	0.5545107655447915	0.33897037172870303	0.6112962863681718	0.42616460387544797	0.18578572123973655	0.43594826869768566	0.5582618202773292	0.2669646532000405	0.478206897737373
CA	0.9274080032173738	0.41896802325581395	0.45176235465116277	0.2942940294558603	0.21833289714734364	0.7418869405914682	0.5517587939698493	0.3416303671437461	0.6191661481020535	1.207667731629393	0.5213793103448275	0.4317241379310345	0.5278965252658117	0.3202766509277116	0.6067034647868591	0.6357185990338166	0.3613041613041613	0.5683397683397683	4211	6624	11655	1.5670819524545614	0.39891823576954927	0.25456118306047315	0.35344463554618133	0.23705417713099997	0.6706967747994758	1.2730642297415737	0.4994544759126047	0.3923246480768623	1.0386641605327256	0.4151997194375054	0.3997439549897934	0.8177586330674813	0.34249456526266986	0.41882109391856126
CO	0.7108753315649867	0.34096692111959287	0.4796437659033079	0.20269478617457526	0.16413662239089183	0.8097722960151803	0.5302013422818791	0.3305439330543933	0.6234309623430963	0.330188679245283	0.23648648648648649	0.7162162162162162	0.3667157584683358	0.24489795918367346	0.6678141135972461	0.5274527452745275	0.3237569060773481	0.6138121546961326	586	1111	1810	1.463739421591038	0.38126716311498965	0.2604747521936414	0.57628306561869	0.3265219164092046	0.5665998810127362	1.2891235358143223	0.5208325134746411	0.40402063805749855	2.1441987790512664	0.6159977118313514	0.28728573015227116	1.1703583621494276	0.3812990815694104	0.32579686179977696
CT	0.43569553805774275	0.2526636225266362	0.5799086757990868	0.2118380062305296	0.16790123456790124	0.7925925925925926	0.3650793650793651	0.25842696629213485	0.7078651685393258	0.18965517241379312	0.10377358490566038	0.5471698113207547	0.29370629370629364	0.20216606498194944	0.6883273164861613	0.50293542074364	0.30522565320665085	0.6068883610451307	257	511	842	1.2943888821885094	0.39116411002056983	0.30219983762468866	0.6129323495178479	0.3288946253526805	0.5365920490432582	0.5022079040958143	0.31585577893799327	0.628934304621642	0.908839085886804	0.37890783806181866	0.4169141093795472	1.0715515641707123	0.37881929404971304	0.3535240922753785
DC	1.1530944625407167	0.466403162055336	0.4044795783926219	0.5885997521685254	0.3579502637528259	0.6081386586284853	0.4292929292929292	0.2982456140350877	0.6947368421052632	0.30994152046783624	0.23043478260869565	0.7434782608695653	0.6520566419420093	0.3717800845828527	0.570165321030373	1.2696629213483146	0.5338582677165354	0.4204724409448819	678	534	1270	3.4686770153229336	0.5809081521210112	0.16747254055504177	1.9434022480970783	0.5982078708382554	0.3078147467535364	1.3063867667452802	0.5152783375849429	0.39443015705731815	1.5514634563907934	0.5564448125966032	0.3586580207896576	2.470315805405232	0.5802164303088431	0.2348754070387628
DE	0.46753246753246747	0.2571428571428571	0.55	0.38759689922480617	0.2631578947368421	0.6789473684210526	0.7	0.4117647058823529	0.5882352941176471	0.16666666666666666	0.14285714285714285	0.8571428571428571	0.42342342342342343	0.2655367231638418	0.6271186440677966	0.6836734693877551	0.366120218579235	0.5355191256830601	67	98	183	0.7774052249283574	0.2554031840282437	0.3285328884325168	1.1632619324871645	0.3591880819653969	0.30877661508050785	3.047329993806622	0.7529235319259271	0.24707646807407307	0.8291307264193353	0.453292219327824	0.5467077806721761	0.9379912025421492	0.3017831139044866	0.3217334161414225
FL	0.42397476340694007	0.2545454545454545	0.6003787878787878	0.1418468652250782	0.12052230182574532	0.8496648948463138	0.2047244094488189	0.16539440203562342	0.8078880407124682	0.12942779291553133	0.10758776896942242	0.8312570781426953	0.2196434577867474	0.16740370441581748	0.7621611228609882	0.3515713316753335	0.24296875	0.69109375	1555	4423	6400	1.2153525673347227	0.3552503094788001	0.29230226604767595	0.464049495133276	0.2762314788308295	0.5952629659719708	0.6257635957954383	0.3518763430061285	0.562315138449116	0.39386604852668616	0.22520899340574838	0.5717908264705113	0.8571424428195732	0.3301777428645578	0.3852075528758521
GA	0.6687631027253669	0.3302277432712215	0.4937888198757764	0.19626168224299068	0.1590909090909091	0.8106060606060606	0.34523809523809523	0.2457627118644068	0.711864406779661	0.45454545454545453	0.27522935779816515	0.6055045871559633	0.3377573131094258	0.23058431952662722	0.6826923076923077	0.5061648280337444	0.30456852791878175	0.6017180788754393	780	1541	2561	1.418780735091007	0.36809109575901894	0.2594418479578579	0.5824626241654571	0.3231802041401814	0.5548514028745255	0.9995737002568962	0.43936804126693707	0.4395554236311109	1.0316690044993901	0.43844574791811297	0.4249868378384262	1.0634412013910464	0.36272736495517266	0.34108831262198885
