category,lexicon
body,crap
body,pussy*
body,arter*
body,tooth*
body,goosebump*
body,skin
body,horny
body,nerve*
body,vein*
body,erection*
body,titty
body,saliv*
body,dick
body,thigh*
body,tricep*
body,spits
body,skin'*
body,dicks
body,uter*
body,hip
body,forehead*
body,fat
body,body*
body,hands
body,foot
body,arms*
body,bloody
body,shoe*
body,sleep*
body,brain*
body,bony
body,cheek*
body,spine
body,naked
body,crotch
body,gut
body,anal
body,bladder*
body,bone
body,ears
body,sensation
body,pulse
body,hair*
body,asleep
body,boob*
body,drool*
body,arses
body,hornie*
body,arm
body,forearm*
body,eye*
body,pussies
body,flesh*
body,stomach*
body,vagina*
body,abs
body,scalp
body,pee
body,bellies
body,ass
body,toes
body,leg
body,chest*
body,throat*
body,shirt*
body,butts
body,jaw*
body,rash*
body,wear
body,tendons
body,slender*
body,ankle*
body,arous*
body,teeth*
body,piss*
body,titties
body,toenail*
body,knuckle*
body,nude*
body,skinni*
body,ribs
body,gums
body,finger*
body,sensations
body,faces
body,knee*
body,mucous*
body,clothes
body,sweat*
body,poop*
body,thirst*
body,guts
body,colons
body,bowel*
body,cornea*
body,retina*
body,intestin*
body,breath*
body,feet
body,spinal
body,colon
body,muscle*
body,shoulder*
body,lung*
body,anus*
body,skelet*
body,heads
body,liver*
body,slept
body,butt's
body,asses
body,tonsils
body,womb*
body,nudi*
body,genital*
body,cocks*
body,armpit*
body,toe
body,head
body,spit
body,erectile
body,legs*
body,bodi*
body,wake
body,butt
body,ear
body,kidney*
body,shit*
body,facial*
body,bicep*
body,skull
body,lips*
body,urin*
body,spat
body,palm
body,penis*
body,cock
body,heart
body,joints
body,waist*
body,muscular
body,prostat*
body,breast*
body,fatt*
body,bones
body,elbow*
body,rib
body,wrist*
body,orgasm*
body,ovar*
body,hamstring*
body,prick*
body,nostril*
body,lip
body,belly
body,tits
body,mouth*
body,nose*
body,pelvi*
body,heel*
body,palms
body,neuron*
body,bald
body,nasal
body,neural*
body,hand
body,blood
body,spitting
body,tongue*
body,arch
body,arse
body,tendon
body,neck
body,itch*
body,face
body,tit
body,appendix
body,hearts
body,nipple*
body,abdomen*
body,perspir*
body,hips
pronoun,she'll
pronoun,itd
pronoun,somebod*
pronoun,its
pronoun,whose
pronoun,he's
pronoun,somewhere
pronoun,we've
pronoun,itll
pronoun,he'd
pronoun,lets
pronoun,other
pronoun,ours
pronoun,them
pronoun,his
pronoun,ya
