category,lexicon
cluster_2,hurt*
cluster_4,ideal*
cluster_3,idiot*
cluster_2,ignor*
cluster_1,immoral*
cluster_1,impersonal
cluster_3,impress*
cluster_4,improving
cluster_4,improve*
cluster_1,incentive*
cluster_1,inferior*
cluster_3,insecur*
cluster_1,inspir*
cluster_3,insult*
cluster_4,intell*
cluster_1,invigor*
cluster_1,irrational*
cluster_4,jaded
cluster_2,jealous*
cluster_1,jerked
cluster_1,jerk
cluster_1,jerks
cluster_2,joking
cluster_2,joke*
cluster_3,joy*
cluster_1,keen*
cluster_3,kidding
cluster_1,kill*
cluster_3,kindly
cluster_3,kind
cluster_1,kindn*
cluster_2,kiss*
cluster_2,lame*
cluster_2,laugh*
cluster_2,lazie*
cluster_2,lazy
cluster_3,liar*
cluster_1,libert*
cluster_2,lied
cluster_2,lies
cluster_2,lying
cluster_2,like
cluster_2,likes
cluster_2,liking
cluster_2,liked
cluster_2,lmao
cluster_2,lol
cluster_2,lone*
cluster_3,losing
cluster_3,lose
cluster_3,loses
cluster_3,loser*
cluster_4,loss*
cluster_3,lost
cluster_2,loves
cluster_2,love
cluster_2,loving*
cluster_2,lovely
cluster_2,loved
cluster_1,lover*
cluster_3,loyal*
cluster_2,luck
cluster_2,lucks
cluster_2,lucked
cluster_2,lucki*
cluster_2,lucky
cluster_2,madly
cluster_4,maddening
cluster_4,maniac*
cluster_3,melanchol*
cluster_1,merit*
cluster_2,mess
cluster_3,messy
cluster_3,miser*
cluster_2,missed
cluster_2,misses
cluster_2,miss
cluster_2,missing
cluster_3,mistak*
cluster_1,mocks
cluster_1,mock
cluster_1,mocked
cluster_1,mocking
cluster_1,moody
cluster_1,moodi*
cluster_3,moron*
cluster_4,mourn*
cluster_4,murder*
cluster_1,nag*
cluster_1,nast*
cluster_1,neat*
cluster_1,needy
cluster_1,neglect*
cluster_3,nerd*
cluster_2,nervous*
cluster_2,nice*
cluster_3,numb*
cluster_1,nurtur*
cluster_3,obsess*
cluster_1,obnoxious*
cluster_1,offence*
cluster_3,offend*
cluster_2,ok
cluster_2,oks
cluster_2,okay
cluster_2,okays
cluster_4,optimal*
cluster_4,original
cluster_1,outgoing
cluster_1,outrag*
cluster_3,overwhelm*
cluster_3,pain
cluster_3,pains
cluster_3,paining
cluster_3,pained
cluster_1,panic*
cluster_4,paradise
cluster_4,partie*
cluster_4,party*
cluster_1,passion*
cluster_3,pathetic*
cluster_1,peculiar*
cluster_3,perfect*
cluster_1,perver*
cluster_3,petty*
cluster_3,pettie*
cluster_2,piss*
cluster_3,pity*
cluster_3,piti*
cluster_3,plays
cluster_3,play
cluster_3,playful*
cluster_3,playing
cluster_3,played
cluster_2,pleasing
cluster_2,please*
cluster_3,pleasant*
cluster_3,pleasur*
cluster_1,poison*
cluster_4,popular*
cluster_2,precious*
cluster_1,prejudic*
cluster_2,pretty
cluster_2,prettie*
cluster_1,prick*
cluster_4,pride
cluster_1,privileg*
cluster_4,prize*
cluster_3,problem*
cluster_4,profit*
cluster_1,promis*
cluster_4,protested
cluster_4,protest
cluster_4,protesting
cluster_2,proud*
cluster_1,punish*
cluster_4,rage*
cluster_4,raging
cluster_1,rancid*
cluster_4,raping
cluster_4,rape*
cluster_4,rapist*
cluster_3,ready
cluster_3,readiness
cluster_1,reassur*
cluster_4,rebel*
cluster_1,reek*
cluster_4,reject*
cluster_3,relax*
cluster_1,relief
cluster_3,reliev*
cluster_1,repress*
cluster_1,resent*
cluster_4,resign*
cluster_4,resolv*
cluster_1,respect
cluster_1,restless*
cluster_4,revenge*
cluster_4,reward*
cluster_1,rich*
cluster_2,ridicul*
cluster_1,rigid*
cluster_4,risk*
cluster_1,rofl
cluster_1,romanc*
cluster_1,romantic*
cluster_1,rotten
cluster_2,rude*
cluster_3,ruin*
cluster_2,sad
cluster_2,sadness
cluster_2,sadly
cluster_2,safe*
cluster_4,savage*
cluster_1,save
cluster_2,scare*
cluster_2,scaring
cluster_2,scary
cluster_1,sceptic*
cluster_2,scream*
cluster_2,screw*
cluster_1,scrumptious*
cluster_4,secur*
cluster_2,selfish*
cluster_1,sentimental*
cluster_2,serious
cluster_2,seriousness
cluster_2,seriously
cluster_4,severe*
cluster_2,shake*
cluster_1,shaki*
cluster_1,shaky
cluster_3,shame*
cluster_4,shared
cluster_4,share
cluster_4,sharing
cluster_4,shares
cluster_2,shy*
cluster_2,shit*
cluster_2,shock*
cluster_4,shook
cluster_1,sicken*
cluster_3,silly
cluster_3,silli*
cluster_1,sins
cluster_1,sin
cluster_3,sincer*
cluster_4,sinister
cluster_3,skeptic*
cluster_3,slut*
cluster_1,smart*
cluster_1,smother*
cluster_3,smug*
cluster_1,snob*
cluster_2,sobbed
