State	p_0_k_original_tweets (L)	p_0_k_original_tweets (R)	p_1_k_original_tweets (L)	p_1_k_original_tweets (R)	p_2_k_original_tweets (L)	p_2_k_original_tweets (R)	p_0_k_retweets (L)	p_0_k_retweets (R)	p_1_k_retweets (L)	p_1_k_retweets (R)	p_2_k_retweets (L)	p_2_k_retweets (R)	p_0_k_quoted_tweets (L)	p_0_k_quoted_tweets (R)	p_1_k_quoted_tweets (L)	p_1_k_quoted_tweets (R)	p_2_k_quoted_tweets (L)	p_2_k_quoted_tweets (R)	p_0_k_replies (L)	p_0_k_replies (R)	p_1_k_replies (L)	p_1_k_replies (R)	p_2_k_replies (L)	p_2_k_replies (R)	p_0_k_total_tweets (L)	p_0_k_total_tweets (R)	p_1_k_total_tweets (L)	p_1_k_total_tweets (R)	p_2_k_total_tweets (L)	p_2_k_total_tweets (R)	p_0_k_users (L)	p_0_k_users (R)	p_1_k_users (L)	p_1_k_users (R)	p_2_k_users (L)	p_2_k_users (R)	#users_1_k (L)	#users_1_k (R)	#users_2_k (L)	#users_2_k (R)	#users_all_k (L)	#users_all_k (R)	p_0_k_virality_original (L)	p_0_k_virality_original (R)	p_1_k_virality_original (L)	p_1_k_virality_original (R)	p_2_k_virality_original (L)	p_2_k_virality_original (R)	p_0_k_virality_retweet (L)	p_0_k_virality_retweet (R)	p_1_k_virality_retweet (L)	p_1_k_virality_retweet (R)	p_2_k_virality_retweet (L)	p_2_k_virality_retweet (R)	p_0_k_virality_quoted (L)	p_0_k_virality_quoted (R)	p_1_k_virality_quoted (L)	p_1_k_virality_quoted (R)	p_2_k_virality_quoted (L)	p_2_k_virality_quoted (R)	p_0_k_virality_reply (L)	p_0_k_virality_reply (R)	p_1_k_virality_reply (L)	p_1_k_virality_reply (R)	p_2_k_virality_reply (L)	p_2_k_virality_reply (R)	p_0_k_virality_total (L)	p_0_k_virality_total (R)	p_1_k_virality_total (L)	p_1_k_virality_total (R)	p_2_k_virality_total (L)	p_2_k_virality_total (R)
AK	7.0	0.0	1.0	0.0	0.14285714285714285	0.7142857142857143	nan	0.25	0.75	0.25	0.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	1.0	30.625	0.13257575757575757	0.875	0.125	0.02857142857142857	0.9428571428571428	13.714285714285714	0.16326530612244897	0.8571428571428571	0.14285714285714285	0.0625	0.875	6	1	1	14	7	15	21.39674925285161	0.0	1.0	0.0	0.046736071362182594	0.8675197766404436	nan	0.48901001310415904	0.510989986895841	0.48901001310415904	0.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	1.0	228.6190728397611	0.026039066188949293	0.974275486622228	0.025724513377772158	0.004261566957298864	0.987919965758579
AL	nan	0.09401709401709402	0.3076923076923077	0.07692307692307693	0.0	0.8181818181818182	nan	0.12625538020086083	0.47058823529411764	0.11764705882352941	0.0	0.9318181818181818	nan	0.0	0.6	0.0	0.0	1.0	nan	0.0	0.5	0.0	0.0	1.0	nan	0.07769423558897243	0.4523809523809524	0.07142857142857142	0.0	0.9193548387096774	nan	0.08566433566433566	0.46153846153846156	0.07692307692307693	0.0	0.8979591836734694	18	3	0	44	18	47	nan	0.009434648242609135	0.2566328388828369	0.008022421884024857	0.0	0.8503148901507187	nan	0.1260164040958262	0.38112014641467934	0.095573626162692	0.0	0.758422102649551	nan	0.0	0.6579603556098863	0.0	0.0	1.0	nan	nan	0.5	0.0	nan	nan	nan	0.02455024075463211	0.3055124991379266	0.018835765927585804	0.0	0.767233450614202
AR	12.0	0.75	0.5	0.5	0.041666666666666664	0.6666666666666666	nan	0.0	1.0	0.0	0.0	1.0	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	nan	nan	40.09090909090909	0.21729490022172948	0.8181818181818182	0.18181818181818182	0.02040816326530612	0.8367346938775511	30.22222222222222	0.1259259259259259	0.8888888888888888	0.1111111111111111	0.029411764705882353	0.8823529411764706	8	1	1	30	9	31	20.49536189974409	0.201404626000101	0.8303348843135662	0.16966511568643391	0.04051330678498211	0.842409228903952	nan	0.0	1.0	0.0	0.0	1.0	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	nan	nan	35.38460513937364	0.0583912281440807	0.9476919923048057	0.0523080076951942	0.026782607537148322	0.8958196180790011
AZ	20.5	0.0	1.0	0.0	0.04878048780487805	0.9024390243902439	nan	0.12971698113207547	0.75	0.125	0.0	0.9636363636363636	nan	0.0	1.0	0.0	0.0	0.8333333333333334	nan	0.0	1.0	0.0	0.0	1.0	43.67999999999999	0.08577319587628866	0.84	0.08	0.019230769230769232	0.9326923076923077	35.108695652173914	0.0947603121516165	0.8260869565217391	0.08695652173913043	0.023529411764705882	0.9176470588235294	19	2	2	78	21	80	62.65410641925283	0.0	1.0	0.0	0.015960645792447412	0.7560179086711145	nan	0.013585419725653268	0.9391956829227559	0.012220929144330444	0.0	0.8995621328690887	nan	0.0	1.0	0.0	0.0	0.961502860743025	nan	nan	nan	nan	0.0	1.0	111.06560273557848	0.008681626420513643	0.9639685761535146	0.007241878520530763	0.008679272001507981	0.8341615003634656
CA	9.1875	0.03343949044585987	0.5625	0.026785714285714284	0.061224489795918366	0.8010204081632653	23.215660252156603	0.05522756547874624	0.8686131386861314	0.051094890510948905	0.03741496598639456	0.9251700680272109	5.121739130434783	0.08423913043478261	0.8260869565217391	0.06521739130434782	0.16129032258064516	0.7741935483870968	9.0	0.0	0.6	0.0	0.06666666666666667	0.9333333333333333	13.738850574712643	0.049735902926481085	0.7433333333333333	0.043333333333333335	0.054104477611940295	0.871268656716418	13.26315789473684	0.07330827067669173	0.8038277511961722	0.06220095693779904	0.06060606060606061	0.8484848484848485	168	13	24	336	192	349	18.16836469974482	0.03279815254624237	0.5894141184699104	0.023606475124763836	0.0324417815367934	0.7197501472523761	9.877140976253004	0.016986824885179663	0.9081831805425644	0.014945038193896356	0.09194798198446825	0.8798017460541031	3.935147818488725	0.04193196525719557	0.8385655706582933	0.030957300008837618	0.21309633318433777	0.7382744838921022	33.49693964912653	0.0	0.7570260418251195	0.0	0.02259985687512978	0.9774001431248702	9.910314394953959	0.026163208245746566	0.7140063809024698	0.021112095167166743	0.07204679412249736	0.8069383146311577
CO	10.999999999999998	0.1746031746031746	0.6666666666666666	0.1111111111111111	0.06060606060606061	0.6363636363636364	nan	0.0	0.9166666666666666	0.0	0.0	0.9714285714285714	nan	0.2	0.8	0.2	0.0	1.0	nan	nan	nan	nan	nan	nan	29.052631578947366	0.06484962406015037	0.8421052631578947	0.05263157894736842	0.028985507246376812	0.8115942028985508	25.16176470588235	0.07544757033248081	0.8529411764705882	0.058823529411764705	0.03389830508474576	0.7796610169491526	29	2	2	46	31	48	19.20497015536767	0.18127896590273734	0.4385124969941833	0.14447765330031498	0.022833281876859457	0.7969907185913252	nan	0.0	0.9597479783581246	0.0	0.0	0.9912619283789119	nan	0.10481766258019547	0.8951823374198046	0.10481766258019547	0.0	1.0	nan	nan	nan	nan	nan	nan	76.2605868639055	0.08498409818524974	0.6860050173885994	0.07774780857245417	0.008995538135745568	0.9148512513832672
CT	nan	0.0	0.6666666666666666	0.0	0.0	1.0	22.555555555555557	0.0	0.7777777777777778	0.0	0.034482758620689655	0.8620689655172413	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	nan	nan	31.428571428571427	0.0	0.7857142857142857	0.0	0.025	0.9	25.142857142857142	0.0	0.7857142857142857	0.0	0.03125	0.875	11	0	1	28	12	28	nan	0.0	0.4052518529332467	0.0	0.0	1.0	22.948665676263044	0.0	0.6100839361275413	0.0	0.026584723693045986	0.7344509812284385	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	nan	nan	30.303577435645778	0.0	0.47566247922641725	0.0	0.015696578406841844	0.8432102946739278
DC	5.46875	0.0	0.625	0.0	0.11428571428571428	0.7714285714285715	5.95	0.061764705882352944	0.85	0.05	0.14285714285714285	0.8095238095238095	3.2307692307692313	0.0	0.9230769230769231	0.0	0.2857142857142857	0.7142857142857143	nan	0.0	1.0	0.0	0.0	1.0	5.511520737327189	0.04121863799283154	0.8387096774193549	0.03225806451612903	0.15217391304347827	0.782608695652174	4.376518218623482	0.047471620227038186	0.8245614035087719	0.03508771929824561	0.18840579710144928	0.7391304347826086	47	2	13	51	60	53	13.013382762137697	0.0	0.8845464948321473	0.0	0.06797206468142367	0.8847885916383037	13.49536999439961	0.030334987184156604	0.9400019226989105	0.02481971005569518	0.06965366070652365	0.818187589960745	10.539606186970069	0.0	0.9030925853731269	0.0	0.08568561000785821	0.9143143899921419	nan	nan	nan	nan	0.0	1.0	12.937940067340083	0.0124252732685039	0.909631054792594	0.010765813406148872	0.0703072552553264	0.8664447995231223
DE	nan	nan	0.6666666666666666	0.0	0.0	0.0	nan	0.0	0.6666666666666666	0.0	0.0	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.6666666666666666	0.0	0.0	0.25	nan	0.0	0.6666666666666666	0.0	0.0	0.3333333333333333	4	0	0	1	4	1	nan	nan	0.46170792830878066	0.0	0.0	0.0	nan	0.0	0.13657281683652908	0.0	0.0	0.08605849157676627	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.45684422003039876	0.0	0.0	0.015474319064855305
FL	6.125	0.03146067415730337	0.7777777777777778	0.022222222222222223	0.12698412698412698	0.7063492063492064	43.45679012345679	0.10010010010010009	0.8148148148148148	0.09259259259259259	0.01875	0.925	nan	0.058823529411764705	0.7058823529411765	0.058823529411764705	0.0	1.0	nan	0.0	1.0	0.0	0.0	0.6666666666666666	12.539811066126855	0.07165298469646296	0.7863247863247863	0.05982905982905983	0.0627062706270627	0.834983498349835	24.202657807308967	0.09022597630539711	0.7209302325581395	0.08139534883720931	0.029787234042553193	0.902127659574468	62	7	7	212	69	219	5.316370567695877	0.0038251116944921504	0.623430234334677	0.0026156745018030155	0.1172661360595999	0.683816502814643	173.88957044312411	0.14571518628457875	0.695633077963998	0.11239117440339419	0.0040004301361565905	0.7713072142247175	nan	0.21514589873055331	0.3083920496988498	0.21514589873055331	0.0	1.0	nan	0.0	1.0	0.0	0.0	0.15670142151210625	14.962396998506437	0.07547354986455349	0.61058619063142	0.05600230740472604	0.04080804637735313	0.7420123673158215
