State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
AK	0.5714285714285714	0.3333333333333333	0.5833333333333334	0.5714285714285715	0.36363636363636365	0.6363636363636364	nan	nan	nan	0.0	0.0	1.0	0.2285714285714286	0.18181818181818182	0.7954545454545454	0.43750000000000006	0.30434782608695654	0.6956521739130435	7	16	23	6.6402241936195745	0.8163388242811076	0.12293844311243395	0.7712285629226535	0.43542012536771163	0.5645798746322883	nan	nan	nan	0.0	0.0	1.0	0.639100122459666	0.3794819738164454	0.5937754672240652
AL	1.1818181818181819	0.5	0.4230769230769231	0.3863636363636363	0.2786885245901639	0.7213114754098361	1.6666666666666667	0.625	0.375	2.0	0.6666666666666666	0.3333333333333333	0.6774193548387097	0.39622641509433965	0.5849056603773585	0.7959183673469389	0.43333333333333335	0.5444444444444444	39	49	90	6.511776758214177	0.5364079135859211	0.08237504655074022	0.0895175680212672	0.08216257419680253	0.9178374258031976	5.798717083453824	0.8529134265001671	0.1470865734998328	nan	1.0	0.0	0.62477446988598	0.31677838973170386	0.5070283838414769
AR	0.16666666666666666	0.13793103448275862	0.8275862068965517	0.2727272727272727	0.21428571428571427	0.7857142857142857	0.3333333333333333	0.25	0.75	nan	nan	nan	0.22448979591836735	0.18032786885245902	0.8032786885245902	0.2647058823529412	0.20930232558139536	0.7906976744186046	9	34	43	0.1415837821664328	0.09351913159072898	0.660521495892775	0.983311944272125	0.49579288175617797	0.5042071182438221	0.04305185276900389	0.041274892187491495	0.9587251078125085	nan	nan	nan	0.303593908148154	0.1958971296666989	0.6452604100708799
AZ	0.12195121951219513	0.10416666666666667	0.8541666666666666	0.2909090909090909	0.2191780821917808	0.7534246575342466	0.5	0.3333333333333333	0.6666666666666666	0.5	0.3333333333333333	0.6666666666666666	0.2403846153846154	0.18796992481203006	0.7819548872180451	0.27058823529411763	0.20535714285714285	0.7589285714285714	23	85	112	0.27665353930577696	0.19283103442420663	0.6970127145602002	0.8992113018999925	0.3937190065523138	0.4378492638164172	0.13972798542218443	0.1225976612045949	0.8774023387954052	0.0	0.0	1.0	0.41813771200318667	0.25970021813443805	0.6210877676885046
CA	0.5678391959798994	0.32848837209302323	0.5784883720930233	0.46779661016949153	0.31221719457013575	0.667420814479638	1.4838709677419353	0.5974025974025974	0.4025974025974026	0.3333333333333333	0.23809523809523808	0.7142857142857143	0.5592592592592592	0.3416289592760181	0.6108597285067874	0.5288220551378445	0.3271317829457364	0.6186046511627907	211	399	645	0.9201280119969667	0.30905801629186275	0.3358858900742624	0.4200734170762825	0.2717225962870498	0.6468454923385615	1.3050147754774162	0.5661633015810584	0.4338366984189415	0.7992336526203595	0.41423522880904573	0.5182905242427396	0.7004518885186759	0.31511478603487136	0.4498735619105545
CO	0.2727272727272727	0.1875	0.6875	0.6857142857142857	0.4	0.5833333333333334	5.000000000000001	0.8333333333333334	0.16666666666666666	nan	nan	nan	0.5507246376811594	0.3333333333333333	0.6052631578947368	0.576271186440678	0.35051546391752575	0.6082474226804123	34	59	97	0.8641303295615365	0.311100481405473	0.36001569527518695	0.5021043144968373	0.26226737666787486	0.5223364330790407	0.9757438836887603	0.49386152311757314	0.506138476882427	nan	nan	nan	0.6515375803752963	0.28887641064867464	0.443376436524624
CT	0.3	0.17647058823529413	0.5882352941176471	0.31034482758620685	0.23684210526315788	0.7631578947368421	2.0	0.6666666666666666	0.3333333333333333	nan	nan	nan	0.35	0.2413793103448276	0.6896551724137931	0.43750000000000006	0.28	0.64	14	32	50	0.5076140658040523	0.13724361060923973	0.2703699914064598	0.07495928485385832	0.069732208382245	0.930267791617755	5.761811688062331	0.852110640441902	0.14788935955809804	nan	nan	nan	0.2670940149001794	0.12375607725611165	0.46334275705265354
DC	0.22857142857142856	0.17777777777777778	0.7777777777777778	0.9523809523809523	0.4878048780487805	0.5121951219512195	0.9285714285714286	0.4642857142857143	0.5	1.0	0.5	0.5	0.673913043478261	0.39490445859872614	0.5859872611464968	0.8260869565217392	0.4418604651162791	0.5348837209302325	57	69	129	1.811198531345208	0.6059322510973697	0.33454767139598635	2.016967982155851	0.6685413945674606	0.331458605432539	0.6368247867603313	0.2967088827042034	0.46591918039752694	0.0	0.0	1.0	1.689306915629288	0.5929221890581509	0.3509854743223377
DE	1.4999999999999998	0.6	0.4	1.4999999999999998	0.6	0.4	nan	nan	nan	nan	nan	nan	1.4999999999999998	0.6	0.4	2.0	0.6666666666666666	0.3333333333333333	6	3	9	10.669476560789912	0.9143063534349042	0.08569364656509576	0.7390745537786323	0.4249815237493892	0.5750184762506108	nan	nan	nan	nan	nan	nan	8.883874625602633	0.8988251027173435	0.10117489728265634
FL	0.3543307086614173	0.2356020942408377	0.6649214659685864	0.3375	0.25	0.7407407407407407	1.1333333333333333	0.53125	0.46875	0.3333333333333333	0.25	0.75	0.38360655737704924	0.26410835214446954	0.6884875846501128	0.3628691983122363	0.25443786982248523	0.7011834319526628	86	237	338	1.0057583522046132	0.2503627957578	0.24892937275540097	0.23152014307976412	0.18432295248579744	0.7961421845799994	3.0196098069188992	0.7512196337369081	0.24878036626309197	0.07312127216389476	0.06813887121671665	0.9318611287832833	0.5347731279704376	0.24249143540433796	0.453447308253198
