ID	Link	Leaning Label	Leaning Prob	#users (EAs)	#original_tweets (EAs)	#retweets (EAs)	#quoted_tweets (EAs)	#replies (EAs)	#total_tweets (EAs)	#users (All)	#original_tweets (All)	#retweets (All)	#quoted_tweets (All)	#replies (All)	#total_tweets (All)	#views by May 2018	#views first 120 days	#likes by May 2018	#dislikes by May 2018	#comments by May 2018	Polarity	Intensity	Hostility	Popularity	AVG(watch time in sec.) for first 120 days	AVG(watch percentage) for first 120 days	nw_size	nw_max_indegree	nw_density	nw_in_degree_centrality_gini	nw_closeness_centrality_gini	nw_betweenness_centrality_gini	nw_global_efficiency	nw_degree_assortativity (in-in)	nw_assortativity_leaning_probs_abs_nonreciprocal	nw_assortativity_leaning_probs_abs_reciprocal	nw_assortativity_leaning_labels	nw_assortativity_num_tweets	lang_p1	lang_p2	lang_p3	lang_sad	lang_anger	lang_anx	lang_posemo	lang_negemo	lang_negate	lang_wc	lang_dic_wc	temp_diff_wrt_first_tweet_mean	temp_diff_wrt_first_tweet_median	temp_diff_between_pairs_mean	temp_diff_between_pairs_median	temp_life_time	temp_diff_between_first_tweets_of_source_users_mean	temp_diff_between_first_tweets_of_source_users_median	temp_diff_between_max_indegree_user	cascade_mean	cascade_median	cascade_max(depth)	cascade_num_sources
Q13v9AlSpUI	https://www.youtube.com/watch?v=Q13v9AlSpUI	R	0.9566375643488958	17	15	1	1	0	17	108	89	24	3	2	118	91641	91601	3425	124	1211	0.21858776449734682	0.038727207254394866	-0.4650605804451958	198.14349089331176	178.6438711930494	0.4488539477212296	17	1	0.007352941176470588	0.8823529411764706	0.8823529411764706	0.0	0.007352941176470588	nan	nan	nan	nan	nan	0.058823529411764705	0.0	0.0	0.0	0.0	0.7647058823529411	0.058823529411764705	0.7647058823529411	0.0	10.235294117647058	8.352941176470589	17.308003125	18.308841666666666	2.481133333333333	1.4916	39.69813333333333	2.5465866666666668	1.4838666666666667	39.69813333333333	1.0588235294117647	1.0	2	16
JiBEH1rDxyk	https://www.youtube.com/watch?v=JiBEH1rDxyk	L	0.23115631835531308	66	16	53	3	1	73	378	115	259	40	6	420	22003	20404	314	7	18	0.1514687406850006	0.014588919692769167	-0.4781931464174455	54.12828612453758	171.86372107815566	0.6713426604615456	66	18	0.028205128205128206	0.7324067117455547	0.6417115461794565	0.8536178259629587	0.08878399378399346	-0.004623848339935751	0.10286141590785698	-0.15456238361266375	nan	-0.07920969925081453	0.3150684931506849	0.0136986301369863	0.1780821917808219	0.0	0.0	0.0	0.2191780821917808	0.0136986301369863	0.2054794520547945	13.095890410958905	8.273972602739725	196.3829548611111	212.07886666666667	3.1994837962962963	0.6057833333333333	230.36283333333333	5.9067393162393165	0.7474166666666666	173.58276666666666	1.5606060606060606	1.0	4	40
pi7ywIt4NMA	https://www.youtube.com/watch?v=pi7ywIt4NMA	L	0.3360051117239463	22	4	23	0	0	27	127	30	121	4	0	155	29820	28096	200	9	23	0.2561602662056399	0.0070087189805499665	-0.4569377990430622	79.21312666524234	33.23371570403744	0.6923690771674466	22	16	0.1341991341991342	0.656891495601173	0.4238852459145403	0.8378202627129666	0.30844155844155824	-0.37812701320530184	-0.08066746124507254	-0.01910828025477707	nan	-0.3169767158724319	0.9259259259259259	0.0	0.0	0.0	0.0	0.0	0.5555555555555556	0.0	0.0	15.74074074074074	9.88888888888889	26.851641666666662	24.7365	1.6445179487179487	0.7112	42.757466666666666	3.8006249999999997	1.2638583333333333	21.62225	1.8636363636363635	2.0	3	9
KWEeXG_jvhs	https://www.youtube.com/watch?v=KWEeXG_jvhs	L	0.26513996651729016	14	7	5	2	0	14	99	63	33	5	3	104	99494	72032	2339	302	985	0.5129008703039722	0.02654431423000382	-0.38564937523665277	251.22428016094216	315.5294360780323	0.6573529918292339	14	9	0.06043956043956044	0.8896103896103895	0.8899297423887588	0.9285714285714285	0.06318681318681318	-0.7698003589195009	-0.1368964195483487	-1.0	nan	nan	0.14285714285714285	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.0	9.428571428571429	5.214285714285714	10.340955128205128	9.7656	1.402274358974359	0.40685	18.229566666666667	3.6459133333333336	3.53435	6.1809666666666665	1.5714285714285714	2.0	2	6
Oq1Z97bWFSo	https://www.youtube.com/watch?v=Oq1Z97bWFSo	R	0.8842936322571123	88	75	13	0	3	91	696	413	272	39	28	752	520984	469975	22555	3515	8142	0.5705353636032598	0.050039924450654916	-0.36517069428461835	1435.5182626568505	146.43121277956308	0.51560286189987	88	53	0.011755485893416929	0.9257575757575758	0.8881332429910459	0.9602095923878102	0.01920062695924765	-0.6067146959557385	-0.0026339878494328894	1.0	0.0	-0.022860502198170516	0.25274725274725274	0.06593406593406594	0.03296703296703297	0.7362637362637363	0.03296703296703297	0.0	0.2857142857142857	0.8131868131868132	0.0	11.351648351648352	6.538461538461538	85.41805185185186	66.040675	2.834029074074074	1.2966333333333333	255.06261666666666	3.5203287037037034	1.5922833333333333	251.67523333333332	1.1931818181818181	1.0	3	73
Qa1gS0asQEA	https://www.youtube.com/watch?v=Qa1gS0asQEA	R	0.953015163168011	14	5	9	0	0	14	108	58	46	3	5	112	123316	78466	3322	234	2167	0.3500672450689347	0.02883648512763956	-0.4341957255343082	570.5050668589029	1196.6925937670596	0.2543989357498001	14	9	0.04945054945054945	0.9285714285714286	0.9285714285714286	0.0	0.04945054945054945	nan	nan		nan	nan	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	7.857142857142857	4.071428571428571	5.189165384615384	2.2688	1.4091717948717948	0.5263166666666667	18.319233333333333	2.3756833333333334	1.7523166666666667	0.11476666666666667	1.6428571428571428	2.0	2	5
Rn4E42T9P54	https://www.youtube.com/watch?v=Rn4E42T9P54	L	0.4952669294735189	26	8	18	1	1	28	200	58	141	32	7	238	63504	60455	1739	114	1817	0.33345673024154776	0.029179264298311917	-0.4384781435509984	269.2967233737338	1215.895419896089	0.3460146328674129	26	18	0.027692307692307693	0.9615384615384616	0.9615384615384616	0.0	0.027692307692307693	nan	nan		0.0	nan	0.17857142857142858	0.07142857142857142	0.03571428571428571	0.0	0.03571428571428571	0.0	0.17857142857142858	0.07142857142857142	0.03571428571428571	10.857142857142858	5.642857142857143	91.72261666666667	53.250366666666665	8.831659876543211	3.2367833333333333	238.45481666666666	29.806852083333336	6.375383333333334	0.31198333333333333	1.6538461538461537	2.0	2	9
M0cStcBtikI	https://www.youtube.com/watch?v=M0cStcBtikI	L	0.2337285234064718	20	6	15	1	0	22	138	91	39	7	15	152	146973	99709	3364	448	1137	0.5222004153737111	0.02593673667952617	-0.3824763903462749	422.27977332382756	194.8652940234928	0.7164165221451941	20	13	0.06578947368421052	0.8979999999999999	0.8684850590687978	0.9318181818181818	0.0912280701754386	-0.5498509464548903	-0.26162714821298183	-0.3333333333333333	0.0	nan	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.545454545454545	1.1363636363636365	6.093669841269842	4.283533333333334	0.7312507936507936	0.5232333333333333	15.356266666666667	2.679333333333333	2.31705	0.0	1.85	2.0	3	5
Kb37gfaQsJI	https://www.youtube.com/watch?v=Kb37gfaQsJI	L	0.35043118984262217	32	7	19	7	1	34	185	105	68	17	14	204	673786	528717	12195	4023	3783	0.8081851348391684	0.024069956929945117	-0.2519422863485017	1688.8644863672118	265.5263396276639	0.47842583716696196	32	17	0.028225806451612902	0.9419642857142858	0.9391294613241343	0.9618055555555555	0.03276209677419355	-0.08625260981322899	-0.2581988897471631	nan	-0.02941176470588139	nan	0.058823529411764705	0.029411764705882353	0.029411764705882353	0.0	0.0	0.0	0.38235294117647056	0.4411764705882353	0.029411764705882353	3.7941176470588234	2.1470588235294117	26.93989040404041	28.207116666666668	1.3824757575757578	0.8371666666666666	45.6217	3.1423761904761895	2.383475	8.696883333333334	1.53125	2.0	2	15
H4iJp7LZCjE	https://www.youtube.com/watch?v=H4iJp7LZCjE	N	0.6282510737526802	178	177	1	0	4	182	1036	989	73	9	28	1099	7809213	2621514	119642	2146	6555	0.12786498951667516	0.015595425556967137	-0.48237921634315367	29628.147215552002	218.54719260753583	0.6562978756983058	178	1	9.521995810321844e-05	0.9831460674157304	0.9831460674157304	0.0	9.521995810321844e-05	nan	nan	nan	-1.0	-0.4999999999999998	0.6263736263736264	0.038461538461538464	0.02197802197802198	0.005494505494505495	0.027472527472527472	0.0	0.6373626373626373	0.038461538461538464	0.02197802197802198	7.417582417582418	5.065934065934066	521.23150267035	460.94325	5.295784990791897	1.5985833333333332	958.5370833333334	5.4773547619047624	1.7486	637.5458166666666	1.0112359550561798	1.0	2	176
