State	p_0_k_original_tweets (All)	p_1_k_original_tweets (All)	p_2_k_original_tweets (All)	p_0_k_retweets (All)	p_1_k_retweets (All)	p_2_k_retweets (All)	p_0_k_quoted_tweets (All)	p_1_k_quoted_tweets (All)	p_2_k_quoted_tweets (All)	p_0_k_replies (All)	p_1_k_replies (All)	p_2_k_replies (All)	p_0_k_total_tweets (All)	p_1_k_total_tweets (All)	p_2_k_total_tweets (All)	p_0_k_users (All)	p_1_k_users (All)	p_2_k_users (All)	#users_1_k (All)	#users_2_k (All)	#users_all_k (All)	p_0_k_virality_original (All)	p_1_k_virality_original (All)	p_2_k_virality_original (All)	p_0_k_virality_retweet (All)	p_1_k_virality_retweet (All)	p_2_k_virality_retweet (All)	p_0_k_virality_quoted (All)	p_1_k_virality_quoted (All)	p_2_k_virality_quoted (All)	p_0_k_virality_reply (All)	p_1_k_virality_reply (All)	p_2_k_virality_reply (All)	p_0_k_virality_total (All)	p_1_k_virality_total (All)	p_2_k_virality_total (All)
AK	0.375	0.2542372881355932	0.6779661016949152	0.28125	0.21686746987951808	0.7710843373493976	0.25	0.2	0.8	0.0	0.0	0.96	0.25757575757575757	0.19767441860465115	0.7674418604651163	0.3023255813953488	0.22413793103448276	0.7413793103448276	26	86	116	1.1474763903075935	0.4645985070444229	0.4048872037531702	0.3546606085597585	0.2588213766568151	0.7297719859779832	0.19531862916512593	0.16340298260184133	0.8365970173981585	0.0	0.0	0.9388906643702352	0.5420202731333239	0.32038297172634106	0.5910903846349942
AL	0.45360824742268036	0.27848101265822783	0.6139240506329114	0.45804195804195796	0.31116389548693585	0.6793349168646081	1.75	0.6363636363636364	0.36363636363636365	0.07692307692307693	0.06896551724137931	0.896551724137931	0.5057736720554272	0.3249258160237389	0.642433234421365	0.617363344051447	0.37721021611001965	0.6110019646365422	192	311	509	0.9036028076277057	0.2623338826814059	0.2903199065639583	0.420891401203899	0.2605692816660215	0.6190891068829174	0.6458650313405586	0.3924167650700379	0.607583234929962	0.09204359923238435	0.08404633771314261	0.913114419840853	0.577939982999232	0.26624374752961794	0.46067715569346884
AR	0.2619047619047619	0.205607476635514	0.7850467289719626	0.2391304347826087	0.19298245614035087	0.8070175438596491	0.5	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0	0.25213675213675213	0.20068027210884354	0.7959183673469388	0.3248407643312102	0.25	0.7696078431372549	51	157	204	0.6961225573010336	0.37914485063926745	0.5446524418189609	0.22773467160013822	0.18549176533666328	0.8145082346633367	0.22204516760806742	0.18169964048274967	0.8183003595172503	0.0	0.0	1.0	0.43409816955749225	0.29000748978092566	0.6680689072625009
AZ	0.33953488372093027	0.2302839116719243	0.6782334384858044	0.2980972515856237	0.22815533980582525	0.7653721682847896	0.6734693877551021	0.4024390243902439	0.5975609756097561	0.058823529411764705	0.05263157894736842	0.8947368421052632	0.3229571984435798	0.23601895734597156	0.7308056872037915	0.3395872420262664	0.2503457814661134	0.7372060857538036	181	533	723	0.5167609898461301	0.1895269743883344	0.36675944607345007	0.17506864701931618	0.1430634186894265	0.8171846936912789	0.18437077505285374	0.1556698112925203	0.8443301887074798	0.012743319781778678	0.010141316703415467	0.795814346424568	0.29087639396661186	0.16637291864073336	0.5719711949531058
CA	0.453757225433526	0.28153018529587565	0.620442319187089	0.433597621407334	0.29924760601915185	0.6901504787961696	0.78	0.43333333333333335	0.5555555555555556	0.12280701754385964	0.1065989847715736	0.868020304568528	0.4444120221768311	0.29549864183158714	0.6649204501358168	0.5008726003490401	0.32356257046223225	0.6459977452085682	1148	2292	3548	0.765355812645769	0.29526680604585903	0.38579024444218585	0.3626731778916319	0.24728309475052657	0.6818345271301416	0.6547301128703003	0.3568819744615534	0.545082572874192	0.30397469677474165	0.21264043838208654	0.6995333514212279	0.5556378293553687	0.2786904976847365	0.5015686171117315
CO	0.49112426035502954	0.29432624113475175	0.599290780141844	0.3766666666666667	0.2703349282296651	0.7177033492822966	0.5483870967741936	0.3333333333333333	0.6078431372549019	0.07692307692307691	0.07142857142857142	0.9285714285714286	0.41715399610136455	0.2797385620915033	0.6705882352941176	0.4146341463414634	0.28125	0.6783088235294118	153	369	544	0.9105815151518389	0.28330958110588866	0.31113038908839147	0.3117347194279636	0.22172528477471998	0.7112627210135212	0.18841939885753645	0.1236038981731707	0.6560041000164074	0.009111286967951816	0.009029020966882892	0.9909709790331171	0.5631782844855638	0.2547045205654099	0.45226268054364016
CT	0.2159090909090909	0.15447154471544716	0.7154471544715447	0.35374149659863946	0.26	0.735	0.22222222222222224	0.17647058823529413	0.7941176470588235	0.0	0.0	0.98	0.24758842443729903	0.1891891891891892	0.7641277641277642	0.39655172413793105	0.2653846153846154	0.6692307692307692	69	174	260	0.49725724337255345	0.18514005773521072	0.37232249545433105	0.4536310161029616	0.31031338117907153	0.6840656175693222	0.09946174007512848	0.07547917520107056	0.7588764799817228	0.0	0.0	0.9545189508142486	0.3543187727415212	0.18156350543025943	0.5124298213877357
DC	0.46875	0.30405405405405406	0.6486486486486487	0.6432432432432432	0.38762214983713356	0.6026058631921825	0.8666666666666666	0.4482758620689655	0.5172413793103449	0.3125	0.21739130434782608	0.6956521739130435	0.608187134502924	0.368141592920354	0.6053097345132743	0.7459016393442623	0.42424242424242425	0.5687645687645687	182	244	429	1.2547185485954346	0.5185082755474524	0.4132466808017498	0.8460894592776793	0.44355985823119	0.5242469970136071	0.5696792199373193	0.31865600782449527	0.5593604201669079	0.42606744692821824	0.1639496137362237	0.3847973247386936	0.9945795576471472	0.4570094057399422	0.4595000995406323
DE	0.15384615384615385	0.125	0.8125	0.9444444444444445	0.4857142857142857	0.5142857142857142	2.0	0.6666666666666666	0.3333333333333333	nan	1.0	0.0	0.5333333333333333	0.3380281690140845	0.6338028169014085	0.88	0.46808510638297873	0.5319148936170213	22	25	47	0.5875563856131383	0.3277892023829784	0.5578855245372194	0.17992978712932886	0.15249194409023528	0.8475080559097646	13.661940734278327	0.9317962050097442	0.06820379499025583	nan	1.0	0.0	0.49762885822715575	0.3084311634636868	0.6198016018654917
FL	0.32907348242811496	0.2222222222222222	0.6752966558791802	0.2889874353288987	0.22304620650313747	0.7718197375926983	0.5	0.3313953488372093	0.6627906976744186	0.07766990291262137	0.07207207207207207	0.9279279279279279	0.30145719489981787	0.2234222072224097	0.7411407357408032	0.33397559409120103	0.24551463644948066	0.7351274787535411	520	1557	2118	0.7470434139698495	0.2602405326204037	0.3483606544865503	0.16137648985200084	0.137012333336057	0.8490228871734147	0.6759632408782267	0.3936625058064904	0.582372652830996	0.325950947529667	0.2458242879474047	0.7541757120525951	0.4149179847625465	0.22254105459284385	0.5363495022280172
